assertion_id;assertion_target_id;assertion_target_type;assertion_parent_assertion_id;assertion_type;assertion_made_date;assertion_effective_date;assertion_value;assertion_value_numeric;assertion_unit;assertion_by_agent_name;assertion_by_agent_id;assertion_protocol;assertion_protocol_id;assertion_remarks
B 10 0166362 Type;B 10 0166362;MATERIAL_ENTITY;;typeStatus;;;Type;;;Martin Xanthos|Simon J. Mayo|Isabel Larridon;;;;Xanthos M, Mayo SJ, Larridon I (2023) Reassessment of morphological species delimitations in the Cyperus margaritaceus-niveus complex using morphometrics. Plant Ecology and Evolution 156(1): 112-127. https://doi.org/10.5091/plecevo.97453
B 10 0166362 Lfwid;B 10 0166362;MATERIAL_ENTITY;;Leaf width;;;;1.1	;mm;Martin Xanthos|Simon J. Mayo|Isabel Larridon;;;;Xanthos M, Mayo SJ, Larridon I (2023) Reassessment of morphological species delimitations in the Cyperus margaritaceus-niveus complex using morphometrics. Plant Ecology and Evolution 156(1): 112-127. https://doi.org/10.5091/plecevo.97453
B 10 0166362 Culwid;B 10 0166362;MATERIAL_ENTITY;;Culm width;;;;1.6;mm;Martin Xanthos|Simon J. Mayo|Isabel Larridon;;;;Xanthos M, Mayo SJ, Larridon I (2023) Reassessment of morphological species delimitations in the Cyperus margaritaceus-niveus complex using morphometrics. Plant Ecology and Evolution 156(1): 112-127. https://doi.org/10.5091/plecevo.97453
B 10 0166362 Numbrac;B 10 0166362;MATERIAL_ENTITY;;Number of involucral bracts;;;;2;;Martin Xanthos|Simon J. Mayo|Isabel Larridon;;;;Xanthos M, Mayo SJ, Larridon I (2023) Reassessment of morphological species delimitations in the Cyperus margaritaceus-niveus complex using morphometrics. Plant Ecology and Evolution 156(1): 112-127. https://doi.org/10.5091/plecevo.97453
B 10 0166362 Lenbrac;B 10 0166362;MATERIAL_ENTITY;;Length of involucral bracts;;;;5.25;cm;Martin Xanthos|Simon J. Mayo|Isabel Larridon;;;;Xanthos M, Mayo SJ, Larridon I (2023) Reassessment of morphological species delimitations in the Cyperus margaritaceus-niveus complex using morphometrics. Plant Ecology and Evolution 156(1): 112-127. https://doi.org/10.5091/plecevo.97453
B 10 0166362 Numspk;B 10 0166362;MATERIAL_ENTITY;;Number of spikelets per inflorescence;;;;2;;Martin Xanthos|Simon J. Mayo|Isabel Larridon;;;;Xanthos M, Mayo SJ, Larridon I (2023) Reassessment of morphological species delimitations in the Cyperus margaritaceus-niveus complex using morphometrics. Plant Ecology and Evolution 156(1): 112-127. https://doi.org/10.5091/plecevo.97453
B 10 0166362 Spklen;B 10 0166362;MATERIAL_ENTITY;;Spikelet length;;;;32.25;cm;Martin Xanthos|Simon J. Mayo|Isabel Larridon;;;;Xanthos M, Mayo SJ, Larridon I (2023) Reassessment of morphological species delimitations in the Cyperus margaritaceus-niveus complex using morphometrics. Plant Ecology and Evolution 156(1): 112-127. https://doi.org/10.5091/plecevo.97453
B 10 0166362 Spkwid;B 10 0166362;MATERIAL_ENTITY;;Spikelet width;;;;6;mm;Martin Xanthos|Simon J. Mayo|Isabel Larridon;;;;Xanthos M, Mayo SJ, Larridon I (2023) Reassessment of morphological species delimitations in the Cyperus margaritaceus-niveus complex using morphometrics. Plant Ecology and Evolution 156(1): 112-127. https://doi.org/10.5091/plecevo.97453
B 10 0166362 Gllen;B 10 0166362;MATERIAL_ENTITY;;Glume length;;;;5.2;mm;Martin Xanthos|Simon J. Mayo|Isabel Larridon;;;;Xanthos M, Mayo SJ, Larridon I (2023) Reassessment of morphological species delimitations in the Cyperus margaritaceus-niveus complex using morphometrics. Plant Ecology and Evolution 156(1): 112-127. https://doi.org/10.5091/plecevo.97453
B 10 0166362 Glwid;B 10 0166362;MATERIAL_ENTITY;;Glume width;;;;4;mm;Martin Xanthos|Simon J. Mayo|Isabel Larridon;;;;Xanthos M, Mayo SJ, Larridon I (2023) Reassessment of morphological species delimitations in the Cyperus margaritaceus-niveus complex using morphometrics. Plant Ecology and Evolution 156(1): 112-127. https://doi.org/10.5091/plecevo.97453
