event_id;parent_event_id;dataset_id;location_id;protocol_id;event_type;event_name;field_number;event_date;year;month;day;verbatim_event_date;verbatim_locality;verbatim_elevation;verbatim_depth;verbatim_coordinates;verbatim_latitude;verbatim_longitude;verbatim_coordinate_system;verbatim_srs;habitat;protocol_description;sample_size_value;sample_size_unit;event_effort;field_notes;event_remarks
471dfc6d-16c4-33de-5e29-f1336c53afae;;https://www.gbif.org/dataset/ab5ecd23-848f-4389-bc2e-46f4e33d7bc4;97fe18b6-e6cf-781e-b054-efcc372bcbcf;;COLLECTING_EVENT;;;12/10/1992;1992;10;12;;;;;;4,2;9,18;;;forêt submontagnarde ;;;;;;
ebb5c9d3-8f3f-fe29-1ebc-5c45b8f4955f;;https://www.gbif.org/dataset/ab5ecd23-848f-4389-bc2e-46f4e33d7bc5;37bb4f6d-6053-cd24-f3f5-b5a361efbd50;;COLLECTING_EVENT;;;09/02/1966;1966;2;9;;;;;;4,58;13,68;;;forêt mixte atlantique et semi-caducifoliée ;;;;;;
544ed44d-25b0-e7e6-2525-a9b79acf8d9d;;https://www.gbif.org/dataset/ab5ecd23-848f-4389-bc2e-46f4e33d7bc6;72fd7da5-f34e-42f2-819d-e0afaa8c1373;;COLLECTING_EVENT;;;;;;;;;;;;;;;;forêt  atlantique de type nord-occidentale;;;;;;
861e94d3-3a15-08b0-9956-723ea49fa8fe;;https://www.gbif.org/dataset/ab5ecd23-848f-4389-bc2e-46f4e33d7bc7;1c41faad-90b6-9ca6-daf1-ae3fc808bc72;;COLLECTING_EVENT;;;20/01/1970;1970;1;20;;;;;;2,81;10,71;;;forêt mixte semi-caducifoliee et atlantique centrale  ;;;;;;
2d7753e8-16af-d11c-55c0-ce04f5920767;;https://www.gbif.org/dataset/ab5ecd23-848f-4389-bc2e-46f4e33d7bc8;74462d4c-727a-77b6-9ab2-3810129a8ef8;;COLLECTING_EVENT;;;09/03/1993;1993;3;9;;;;;;4,83;8,83;;;forêt atlantique biafréenne ;;;;;;
147831a4-d250-a648-05b3-b325a3151592;;https://www.gbif.org/dataset/ab5ecd23-848f-4389-bc2e-46f4e33d7bc9;60f6ab0a-6e12-4fa7-d399-498953ce6409;;COLLECTING_EVENT;;;22/01/1962;1962;1;22;;;;;;2,8;10,4;;;forêt mixte atlantique centrale et semi-caducifoliée ;;;;;;
178f7160-4171-0d3d-f10d-480246111f7a;;https://www.gbif.org/dataset/ab5ecd23-848f-4389-bc2e-46f4e33d7bc10;4da2c631-46ff-dfbe-5a45-b3aca3120eb5;;COLLECTING_EVENT;;;05/09/1961;1961;9;5;;;;;;4,58;13,68;;;forêt mixte semi-caducifoliée et congolaise;;;;;;
3ecde6fd-cd59-159f-9512-1763eb6d6163;;https://www.gbif.org/dataset/ab5ecd23-848f-4389-bc2e-46f4e33d7bc11;d1cc99ac-694d-976c-488c-cba5fa63d3ae;;COLLECTING_EVENT;;;17/05/1974;1974;5;17;;;;;;10,85;13,78;;; forêt semi-caducifoliée degradee;;;;;;
b70fc52a-97ca-cfca-f494-f1f3c7c5065d;;https://www.gbif.org/dataset/ab5ecd23-848f-4389-bc2e-46f4e33d7bc12;31100f3a-660d-baa6-caa9-8d14023c40d5;;COLLECTING_EVENT;;;18/01/1962;1962;1;18;;;;;;3,8;10,13;;;forêt atlantique littorale;;;;;;
1294feaf-8439-6dd4-407d-249596a60885;;https://www.gbif.org/dataset/ab5ecd23-848f-4389-bc2e-46f4e33d7bc13;587f9b7e-83ff-4313-76d5-fdcf3bef522a;;COLLECTING_EVENT;;;07/12/1982;1982;12;7;;;;;;;;;; forêt mixte semi-caducifoliée et congolaise du Dja ;;;;;;
