georeference_id;location_id;decimal_latitude;decimal_longitude;geodetic_datum;coordinate_uncertainty_in_meters;coordinate_precision;point_radius_spatial_fit;footprint_wkt;footprint_srs;footprint_spatial_fit;georeferenced_by;georeferenced_date;georeference_protocol;georeference_sources;georeference_remarks;preferred_spatial_representation
6a472b29-10fe-7efe-552f-8f76bb4e4182;97fe18b6-e6cf-781e-b054-efcc372bcbcf;4.95;9.72;WGS84;;;;;;;;;;;;
3e252690-37cf-2321-f1bd-2a041a2c9006;37bb4f6d-6053-cd24-f3f5-b5a361efbd50;2.87;13.25;WGS84;;;;;;;;;;;;
32bf4fda-e6e1-b3aa-8a83-4ffbbe20be0d;72fd7da5-f34e-42f2-819d-e0afaa8c1373;4.2;9.17;WGS84;;;;;;;;;;;;
050ec76f-f929-ce4b-18fe-c2dfb5c49f89;1c41faad-90b6-9ca6-daf1-ae3fc808bc72;2.67;10.87;WGS84;;;;;;;;;;;;
a58ee726-cfae-5716-4f6c-5c72c4bda49d;74462d4c-727a-77b6-9ab2-3810129a8ef8;5.02;8.85;WGS84;;;;;;;;;;;;
812ced08-7681-38aa-5173-190f8e6723dd;60f6ab0a-6e12-4fa7-d399-498953ce6409;2.83;10.4;WGS84;;;;;;;;;;;;
23ac08ee-72bd-34f9-4dea-d208fe106d2a;4da2c631-46ff-dfbe-5a45-b3aca3120eb5;4.17;13.3;WGS84;;;;;;;;;;;;
567af3f9-da1c-829b-f3f5-cfe2dccbd342;d1cc99ac-694d-976c-488c-cba5fa63d3ae;4.35;11.63;WGS84;;;;;;;;;;;;
c8a24d32-5acc-80c9-cc84-0b42fb23317b;31100f3a-660d-baa6-caa9-8d14023c40d5;3.8;10.13;WGS84;;;;;;;;;;;;
8af23054-11b5-7b1b-341b-59c4a8ed7998;587f9b7e-83ff-4313-76d5-fdcf3bef522a;2.2;15.38;WGS84;;;;;;;;;;;;
089723fc-505d-da6a-5a58-a563966bee09;4d680ff7-8f9a-f5da-cabe-59c94d458586;3.87;11.52;WGS84;;;;;;;;;;;;
bcdab59e-3062-64f8-df5a-deb1b61a02e6;3e6142a1-2754-736d-9a1c-dc084ee92bea;4.78;9.72;WGS84;;;;;;;;;;;;
e904af80-a1ed-4c4f-2d9c-c888b80ee835;e809e58e-7215-f94e-8b5c-867241353e62;4.2;9.23;WGS84;;;;;;;;;;;;
5e92de35-c826-05f2-f059-df1821b5ed43;8d906593-a441-ec63-636c-93d6e70d590c;6.75;11.87;WGS84;;;;;;;;;;;;
d894fa07-85f0-0bb0-e79a-497aaa9bfda3;b022cee8-de42-e198-c031-200539da1dea;2.95;9.9;WGS84;;;;;;;;;;;;
a7cf1006-402e-c824-9bf4-0382524288c2;0ff68e3f-80ef-1b3d-c0fa-34e0e7fbf89e;2.95;9.9;WGS84;;;;;;;;;;;;
0e958291-088a-4b98-de48-0240e0ef9844;49143c60-6e6c-531c-51a1-42b87b197cc7;3.08;10.42;WGS84;;;;;;;;;;;;
f8db5c84-1e9c-4522-1334-c3ae80f79aaa;bad39466-ecb2-992c-7d24-ff2f1b701358;5.55;9.9;WGS84;;;;;;;;;;;;
665d8fc5-e4eb-1ff3-4b1a-d288a881f340;a9fd739d-b7f7-f7f2-1b2f-22aac2d156f8;4.97;9.67;WGS84;;;;;;;;;;;;
1b17ae42-9303-d3f2-7c12-aced9166e38c;386f57bb-3f44-5700-e4f8-9effc52f5b52;2.5;12.67;WGS84;;;;;;;;;;;;
b570be23-0580-bd16-e31c-4dab1465d9c7;0f65ae3d-ed66-9728-55e8-55c3d7e8169c;5.07;9.7;WGS84;;;;;;;;;;;;
f40963d2-3d3d-016d-72c7-0b0a691a77dc;c6c50af2-5570-25bd-0505-f05e04e55438;5.73;10.07;WGS84;;;;;;;;;;;;
28a7f058-011d-fbfe-d0fe-4ac50bbd45f5;37b3964a-673f-4574-3d6e-74d2a1c6011d;3.02;12.35;WGS84;;;;;;;;;;;;
