material_entity_id;material_entity_type;preparations;disposition;institution_code;institution_id ;collection_code;collection_id;owner_institution_code;catalog_number;record_number;recorded_by;recorded_by_id;associated_references;associated_sequences;other_catalog_numbers
https://www.gbif.org/species/5792306;ORGANISM;;in collection;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;YA0032370;65534/HNC;D. W. Thomas;https://orcid.org/0000-0003-4120-8740;;;
https://www.gbif.org/occurrence/3885967330;ORGANISM;;in collection;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;YA0041163;20385/SRF/Cam;R. Letouzey;;;;
https://www.gbif.org/species/3771306;ORGANISM;;in collection;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;YA0040345;29283/HNC;D. W. Thomas;https://orcid.org/0000-0003-4120-8740;;;
https://www.gbif.org/species/7263652;ORGANISM;;in collection;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;YA0041420;21212/SRF/Cam;Raynal J. & A.;;;;10314
https://www.gbif.org/species/3659006;ORGANISM;;in collection;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;YA0043701;64166/HNC;D. W. Thomas;;;;
https://www.gbif.org/species/3156177;ORGANISM;;in collection;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;YA0002510;5492/SRF/Cam;R. Letouzey;;;;
https://www.gbif.org/species/3156148;ORGANISM;;in collection;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;YA0003476;9205/SRF/Cam;F. J. Breteler;;;;
https://www.gbif.org/species/3596912;ORGANISM;;in collection;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;YA0002567;37848/HNC;G. Fotius;;;;
https://www.gbif.org/species/3867868;ORGANISM;;in collection;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;YA0002847;5491/SRF/Cam;R. Letouzey;;;;
https://www.gbif.org/species/5544103;ORGANISM;;in collection;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;https://www.gbif.org/grscicoll/institution/dcc50723-f94f-4527-ad5a-2aa97dde82bf;YA;;64510/HNC;A. P. M. de Kruif;;;;
