reference_id;reference_type;bibliographic_citation;reference_year;reference_iri;is_peer_reviewed
ef2a5424-e492-60ef-fcf6-159c917212eb;BOOK;Aubréville A. (1962). Irvingiacées, Simaroubacées, Burséracées. In: Aubréville, A. (ed.) Flore du Gabon 3. Muséum national d’Histoire naturelle. Paris. Pp. 1–97.;1962;https://sciencepress.mnhn.fr/fr/collections/flore-du-gabon/irvingiaceae-simaroubaceae-burseraceae;
6e1df5c8-5de0-dc77-e034-2e7090586bfe;BOOK;Aubréville A. (1968). Légumineuses-Césalpinoidées. In: Aubréville, A. (ed.) Flore du Gabon 15. Muséum national d’Histoire naturelle. Paris. 363 p.;1968;https://portal.cybertaxonomy.org/flore-gabon/cdm_dataportal/taxon/89971f59-edde-4b74-b8e9-f4642c036c94;
67006119-4f8b-421c-68ae-e7a761b4a0bc;BOOK;Aubréville A. (1970). Légumineuses-Césalpinoidées. In: Aubréville, A. & Leroy, J.-F. (eds.) Flore du Cameroun 9. Muséum national d’Histoire naturelle. Paris. 339 p.;1970;http://www.sudoc.abes.fr/cbs/xslt/DB=2.1//SRCH?IKT=12&TRM=001757245;
7028656f-478b-831a-5acd-b87965f3bfed;BOOK;Badré F. (1972). Malpighiacées, Linacées, Lepidobo-tryacées, Ctenolophonacées, Humuriacées, Erythroxylacées, Ixonanthacées. In: Aubréville, A. & Leroy, J.-F. (eds.) Flore du Cameroun 14. Muséum national d’Histoire naturelle. Paris. Pp. 1–63.;1972;https://www.abebooks.com/servlet/BookDetailsPL?bi=14709368100&searchurl=sortby%3D17%26tn%3Dflore%2Bdu%2Bcameroun&cm_sp=snippet-_-srp1-_-title5;
a22fc82c-dc15-2d9f-a565-2369f3e414fb;JOURNAL_ARTICLE;Bamps P. (1969a). Notes sur les Guttiferae d’Afrique tropicale. Bull. Jard. Bot. Nat. Belg. 39: 345–372.;1969;https://doi.org/10.2307/3667181;
8eb631ef-c6de-c782-6906-4a8287adf832;BOOK;Bamps P. (1969b). Guttiferae. Distributiones plantarum africanarum 1. Jardin Botanique National de Belgique. Bruxelles.;1969;;
75f061b0-35e1-91b6-9722-cff135774e7c;BOOK;Bamps P. (1970a). Guttiferae. Flore du Congo, du Rwanda et du Burundi. Jardin botanique national de Belgique. Bruxelles. 70 p.;1970;https://bmvr.nice.fr/Default/doc/SYRACUSE/5730860/guttiferae-contribution-a-la-flore-du-congo-du-rwanda-et-du-burundi-par-m-l-spirlet?_lg=fr-FR;
46f27822-80f0-2fd3-0d38-eb729f5525f7;JOURNAL_ARTICLE;Bamps P. (1970b). Notes sur les Guttiferae d’Afrique tropicale. Bull. Jard. Bot. Nat. Belg. 40 : 281–290.;1970;https://doi.org/10.2307/3667572;
e57c2ebe-c6ec-d31f-a69a-3e25dd61e91e;JOURNAL_ARTICLE;Beentje H.J. (1978). A revision of Callichilia Stapf (Apocynaceae). Mededelingen Landbouuw-hogeschool Wageningen: 78–7.;1978;https://edepot.wur.nl/164456;
eed5fe7b-5c03-c53b-3909-c176d0546b16;BOOK;Beentje H.J. (1982). A monograph on Strophanthus DC (Apocynaceae). Belmontia 13: 1–191.;1982;https://edepot.wur.nl/163582;
b5801b6b-7351-613a-c021-b6334f04cac8;JOURNAL_ARTICLE;Boiteau P.+ & Allorge L. (1981). Révision des genres Gabunia et Camerunia (Apocynaceae). Bull. Mus. natn. Hist. nat., B, Adansonia, Ser. 3, 4 (2): 213–240.;1981;;
c6008f2d-4fbd-db56-6dde-f08f6008617e;JOURNAL_ARTICLE;Botermans M., Sosef M.S.M., Chatrou L.W. & Couvreur L.P. (2011). Revision of Africa Genus Hexalobus (Annonaceae). Systematic Botany 36 (1) : 33–48.;2011;https://www.jstor.org/stable/23028947;
f9616d10-f437-c0f2-ed28-7179c7017799;JOURNAL_ARTICLE;Bouchat A. & Leonard J. (1986). Revision du genre Necepsia Prain (Euphorbiacée africano-malgache). Bull. Jard. Bot. Nat. Belg. 56: 179–194.;1986;https://doi.org/10.2307/3667764;
fa79d64e-aeb3-6451-be7d-b852901811f4;JOURNAL_ARTICLE;Boutique R. (1951). Annonaceae. Flore du Congo-Belge et du Rwanda-Urundi 2. Jardin botanique national de Belgique. Bruxelles. Pp. 256–389.;1951;;
8b1fcf12-d546-e701-fe5e-7f04f55d3204;JOURNAL_ARTICLE;Breteler F.J. & Nguema Miyono, N.S. (2008). Revision of the African species of Crudia (Leguminosae, Caesalpinioideae). Syst. Geogr. Pl. 78 (1): 81–110.;2008;https://www.jstor.org/stable/20649751;
150cd343-6025-b25a-b535-fb0161e1e862;JOURNAL_ARTICLE;Breteler F.J. (1973). The African Dichapetalaceae. A taxonomic revision. Mededelingen Landbouwho-geschool Wageningen 73-13: 1–123.;1973;https://library.wur.nl/WebQuery/wurpubs/525750;
10f504ed-a3ca-57b2-e7fe-2605c608ce30;JOURNAL_ARTICLE;Breteler F.J. (1983a). The African Dichapetalaceae 7. Belmontia 14: 1–94.;1983;https://edepot.wur.nl/165273;
351ffd8b-35fd-58de-efe8-b8c96a3e86a2;JOURNAL_ARTICLE;Breteler F.J. (1983b). The African Dichapetalaceae 8. Belmontia 14: 1–92.;1983;https://edepot.wur.nl/165274;
5daa7e0d-80b9-64d1-b9db-3db3f5441725;JOURNAL_ARTICLE;Breteler F.J. (1990). A new species of Trichostephanus Gilg. (Flacourtiaceae). Novitates gabonenses 1. Bull. Jard. Bot. Nat. Belg. 60: 143–146.;1990;https://doi.org/10.2307/3668335;
5ea22441-8faf-4cb2-c5a2-d854ee78815c;JOURNAL_ARTICLE;Breteler F.J. (1990). Novitates gabonenses 5. The identity of Lingelsheimia longipedicellata J.Léonard (Euphorbiaceae) from Gabon. Bull. Mus. natn. Hist. nat., B, Adansonia, Ser. 4, 12 (3-4): 293–295.;1990;https://www.biodiversitylibrary.org/page/13739332;
149a6770-b86d-5635-9f98-9ba727c35fb2;BOOK;Breteler F.J. (1991). Dichapetalacées. Flore du Gabon 35. Muséum national d’Histoire naturelle. Paris.;1991;;
0e542cc2-7628-c2a6-122c-81b5a1c4324d;JOURNAL_ARTICLE;Breteler F.J. (1994). A revision of Leucomphalos including Baphiastrum and Bowringia (Leguminosae-Papilionoideae). Wageningen Agr. Univ. Papers 94-4: 1–41. ;1994;https://edepot.wur.nl/282981;
6d885c35-3fef-8404-5552-1d0fcdacf9b7;JOURNAL_ARTICLE;Breteler F.J. (1994). Novitates Gabonenses 17. Conceveiba leptostachys, a new Euphorbiaceae from Gabon and Cameroon. Bull. Jard. Bot. Nat. Belg. 63: 209–217.;1994;https://doi.org/10.2307/3668246;
7fd34dd3-520a-776e-01bd-595f1cc69eea;JOURNAL_ARTICLE;Breteler F.J. (1999). A revision of Prioria, including Gossweilerodendron, Kingiodendron, Oxystig-ma, and Pterygopodium (Leguminosae-Caesal- pinioideae-Detarieae) with emphasis on Africa. Wageningen Agr. Univ. Papers 99-3: 1–61.;1999;https://edepot.wur.nl/282989;
d1357fa2-ddaa-2c5e-1b43-2f25be145d82;BOOK;Breteler F.J. (2001). Dichapetalacées. In: Achoundong & Morat, Ph. (eds.) Flore du Cameroun 37. Ministère de la Recherche Scientifique et Technique. Yaoundé135 p. ;2001;;
d44dc02d-2df2-76b2-0a4f-694610c9a493;JOURNAL_ARTICLE;Breteler F.J. (2004). The genus Trichoscypha (Anacardiaceae) in Lower Guinea and Congolia: A synoptic revision. Adansonia, Ser. 3, 26 (1): 97–127.;2004;https://sciencepress.mnhn.fr/sites/default/files/articles/pdf/a2004n1a8.pdf;
b02e1ff3-7d54-d060-a32a-27a68f2eb489;JOURNAL_ARTICLE;Breteler F.J. (2006). Novitates Gabonenses 56. Two Anthonotha species from Gabon transferred to Englerodendron (Fabaceae, Caesalpinioideae). Adansonia, Ser. 3, 28 (1): 105–111;2006;https://sciencepress.mnhn.fr/sites/default/files/articles/pdf/a2006n1a7.pdf;
dc501003-db46-8905-63a5-b2adf4497cb0;JOURNAL_ARTICLE;Breteler F.J. (2008b). Anthonotha and Isomacrolobium (Leguminosae, Caesalpinioideae): two distinct genera. Syst. Geogr. Pl. 78 (2): 137–144.;2008;https://www.jstor.org/stable/20649759;
6317b979-1b11-f3d0-329d-ae27941e9faf;JOURNAL_ARTICLE;Breteler F.J. (2010) Description of a new species of Neuropeltis (Convolvulaceae) with a synopsis and a key to all African species. Pl. Ecol. Evol. 143 (2): 176–180. ;2010;http://dx.doi.org/10.5091/plecevo.2010.387;
83b7043b-8fc3-370b-6cca-8bfa3e0c819e;JOURNAL_ARTICLE;Breteler F.J. (2010). Revision of the African genus Anthonotha (Leguminosae, Caesalpinioideae). Pl. Ecol.  Evol. 143 (1): 70–99.;2010;https://doi.org/10.5091/plecevo.2010.369;
4fac2c20-1fda-d32e-c9c8-8b1bc89478fc;JOURNAL_ARTICLE;Breteler F.J. (2011). Revision of the African genus Isomacrolobium (Leguminosae, Caesalpinioi-deae). Pl. Ecol. Evol. 144 (1): 64–81.;2011;https://doi.org/10.5091/plecevo.2011.426;
