citation_target_id	citation_target_type	citation_reference_id	citation_type	citation_page_number	citation_remarks
8694bb8175bfd1c80343f0e7e2f6bd5fe0cd344d	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
8694bb8175bfd1c80343f0e7e2f6bd5fe0cd344d	PROTOCOL	5c1a311cc3f009e7ce4165c3b9e7c4df67c7d451	OTHER		
432908fe9af9de47c0d699faf91e7a0b4ef6b05d	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
432908fe9af9de47c0d699faf91e7a0b4ef6b05d	PROTOCOL	50d2c3c883d94633111d30a9e13e982731665ed9	OTHER		
8b8da26fe48d3a9f0cf8b661901dc330b0806e7d	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
8b8da26fe48d3a9f0cf8b661901dc330b0806e7d	PROTOCOL	a46fa03823cabbd5ffc58e33090cf8acf91f46f8	OTHER		
9e17e716187625b836571685ef11c7b200e97496	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
9e17e716187625b836571685ef11c7b200e97496	PROTOCOL	ef709e5dd932c1fe7cf96217197ce3c195833dc3	OTHER		
b8f1b6bc207f94b86af01561a5c0690b1c18be20	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
b8f1b6bc207f94b86af01561a5c0690b1c18be20	PROTOCOL	b1189402042ce96d7f0d8f45cf72460fdd2a1c8f	OTHER		
39876ce1dbf8971a5f6dbf438f30194f9aa48eaf	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
39876ce1dbf8971a5f6dbf438f30194f9aa48eaf	PROTOCOL	373db5500b309f52c5a3dc5c391b89b1a424ab14	OTHER		
1413f2d5c9d948e37c8942537e949218445cfa2b	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
1413f2d5c9d948e37c8942537e949218445cfa2b	PROTOCOL	ea43ffdc595ccf3c07a343ec4d3bf47df2ff2896	OTHER		
fb4698af2879ed603929856a7317f79553ae7d70	PROTOCOL	8cc180617131b14aee4ca0740b6959bcc3afc126	OTHER		
fb4698af2879ed603929856a7317f79553ae7d70	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
553b4edb766c99cb08adc7b19b51055436432a8b	PROTOCOL	4420fadd5a6fc3706dc99992c605505fde65a19b	OTHER		
553b4edb766c99cb08adc7b19b51055436432a8b	PROTOCOL	a47f7e600b16fcb32d011eaba2cfabf76f9869f2	OTHER		
b43c4996963911810439f9fcb963993d84569a27	PROTOCOL	45b7ef6125d42d256bfc1e47d110226998cd9d5e	OTHER		
b43c4996963911810439f9fcb963993d84569a27	PROTOCOL	f62a5181290a24080a61f3e57671c5061bd9480b	OTHER		
