"georreference_id"	"location_id"	"decimal_latitude"	"decimal_longitude"	"geodetic_datum"	"coordinate_uncertainty_in_meters"	"coordinate_precision"	"point_radius_spacial_fit"	"footprint_wkt"	"footprint_srs"	"footprint_spatial_fit"	"georreferenced_by"	"georreference_date"	"georreference_protocol"	"georreference_sources"	"georreference_remarks"	"preferred_spatial_representation"
"3d0edd75d4762d911e73739043084334"	ae1198530b5f948fff0d613d1514d7c6	16.46083	-97.5275	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"9b2cca33e820f20e54cb95903866c331"	"0a06c09b6dd9a4606b4eb6d60ab188f0"	17.3108297	-92.96083	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"83182127eb6a02cd2344f2362a5ec871"	"04bb4ea012a83380eb1525ba6e3338ae"	23.9899997	-103.4599997	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
d7aaeba9414a063a0b9d138ac0c2d79c	"5a1c1b6285f0c59d0fdb2ea889e905fe"	17.8736111	-96.0225	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"3e9a31f93d4fafdc269ac7ddf91dfb9d"	b9f3c981a2a0cae0a5f368064b59dea7	25.2088888	-106.5716666	WGS84	50.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
bbf0e65522efe86f6b63fb875a91f33e	"5c0e0af3c994648fd9e8f550500d0dc0"	28.70917	-107.9002797	WGS84	60.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"83eaf5a5d09938740174b095e98591e5"	"7aa02fc58804e600b1a70dddca87d7e6"	20.5088897	-103.1705597	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"8d437f2afde1297ab98a054df3e86ae0"	"344441cee5fed6605eb38e533ab55d1c"	18.2333333	-96.8302777	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"1e3996dcd763cdfdcefb604eb55d75ad"	"257fd9869bf6a4e59e2337d37c99fb2f"	16.82139	-96.78139	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
b51c34d9d6b92e9d1f636c2d8ef14c6e	df1fe7efe12795a4042cfb64b87f117c	19.30917	-101.77611	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
db63ebddc7d95f2448573311aa7ec2f8	"47bb4d356ca2b4b15a4247e8d90db778"	19.7319391	-89.9671752	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"5093a2a80743ceada54d89bd41c5735f"	dd0aa187876f7c1e32500ecb1e77c032	20.0814597	-100.48936	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
a825ce10d79147dec13ac9a9bce4fadf	"9a4348dba0d845746ace48b67ef403a1"	20.9066694	-103.8280561	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"989ded8b6c16945c36d8a11fdfc87e0e"	"26beef6bf022591ccfc27cc2557c9ec1"	16.9280597	-92.13889	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"4a16fe1472cee58347520874c5a641b8"	fa5755daab093850b2d4d5681647359a	17.1922197	-92.87111	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"9e224676ffc6bdcf3d667df6e704eb0d"	c4338ab20cee306bdfe5bee77e451920	16.5522197	-92.7622197	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
f26cd5fc58a3cdff15c02863159f9cdc	f772dbf5e5d0ddd2305b34c6e439a2eb	16.8441697	-92.71083	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
e5f10634306a1b9298ef54b004ea38b7	dbc5ca87bec3a7a24fe723ba9977d20a	16.225	-97.26944	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"16af5ef7990f2da9a99f506f1bcbffab"	"1c05076159a28b010c8858981d4bab9c"	16.2152797	-93.9427797	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
aa596b03cd6138ac4532699dc12bd6bf	ca537a6eba61ed18a6522582c2d280c1	21.8441697	-105.2275	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"7ad4a7d824fac5f4c948fb007425865b"	e0d9fd326997a62695961336b93fb1d9	19.67066	-98.9981997	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
