"llaveejemplar","location_id","parent_location_id","higher_geography_id","higher_geography","continent","waterbody","islandgroup","island","nombrepaismapa","country_code","state_province","county","municipality","locality","minimum_elevation_in_meters","maximum_elevation_in_meters","minimum_distance_above_surface_in_meters","maximum_distance_above_surface_in_meters","minimum_depth_in_meters","maximum_depth_in_meters","vertical_datum","location_according_to","location_remarks","accepted_georreference_id","accepted_georreference_context_id"
"0004c0d795cf78a81e7e41fb7b9adef7","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SANTA CRUZ ZENZONTEPEC","","Santa María Tlapanalquiahuitl","","","927.0","","","","","Gacetero | INEGI, 2005","","",""
"000ac673fad14b0037e1ec163a629937","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","IXHUATAN","","Chapayal Grande","","","779.0","","","","","Gacetero | INEGI, 2005","","",""
"0011bdaf3ee95d05ee5557b5d3255c4d","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","ZACATECAS","SOMBRERETE","","José Santos Bañuelos","","","2180.0","","","","","Gacetero | INEGI, 2005","","",""
"0018f2c1ad0186711b4f1b574c129cd4","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SANTA MARIA JACATEPEC","","La Joya","","","149.0","","","","","Gacetero","","",""
"001e56bfbb2e3106d2dbfe2e2ff451f4","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","DURANGO","TOPIA","","Topia","","","1800.0","","","","","Gacetero","","",""
"00204de24dfc019096e3ec7a5981adfd","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Tutuaca"", ""tipo"":""Federal"", ""distancia"":""0.84 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIHUAHUA","TEMOSACHIC","","Tocomorochic","","","1780.0","","","","","Gacetero | INEGI, 2005","","",""
"00229d01e82659e6e1b27482d6880c1c","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Barrancas de los ríos Santiago y Verde"", ""tipo"":""Estatal"", ""distancia"":""0.645 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","JALISCO","JUANACATLAN","","Juanacatlán","","","1520.0","","","","","Gacetero | INEGI, 2005","","",""
"00256f5c2d19e03a7a53f3f3e4a5d427","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SANTA MARIA CHILCHOTLA","","Santa María Chilchotla","","","1420.0","","","","","Gacetero","","",""
"0027a513ba46f1078ed6fd4d9a40104a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SAN PABLO HUIXTEPEC","","San Pablo Huixtepec","","","1480.0","","","","","Gacetero | INEGI, 2005","","",""
"002e4f0fad1d6993cd130f60c42f2bc6","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MICHOACAN DE OCAMPO","SALVADOR ESCALANTE","","El Guayabal","","","1680.0","","","","","Gacetero | INEGI, 2005","","",""
"0037ea8be0dd5a78ea710103e64d32e4","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","","","","","","San Jorge","","","9999.0","","","","","","","",""
"0039e78404c99fa40fbd4894e8122323","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CAMPECHE","HOPELCHEN","","Ich-Ek, aledaña al Ejido Ich-Ek","","","50.0","","","","","Gacetero","","",""
"003b3bc4e3afc2b515f3c084dd59b9c3","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","GUANAJUATO","JERECUARO","","Ejido Puruaguita","","","2001.0","","","","","Gacetero | INEGI, 2005","","",""
"003e3c6e166b329f9eb22df48afc7d4a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","JALISCO","TEQUILA","","La Toma, 3 Km NNW de Tequila","","","1200.0","","","","","Gacetero","","",""
"0040d88dc67c6bab3f43d00411daa9b1","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","OCOSINGO","","Sibaca","","","1000.0","","","","","Gacetero | INEGI, 2005","","",""
"00411230c8a70bffd63a461f82bbc66f","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","PUEBLO NUEVO SOLISTAHUACAN","","Arroyo Grande","","","1740.0","","","","","Gacetero | INEGI, 2005","","",""
"00489ec8705e8b70f5e82c82fbdbf74a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","CHIAPILLA","","Lázaro Cárdenas","","","430.0","","","","","Gacetero | INEGI, 2005","","",""
"00497ab8acfa56e0f5ab37cf0898b0a1","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","CHAMULA","","Los Ranchos","","","2212.0","","","","","Gacetero | INEGI, 2005","","",""
"004b50bcd3da8739570f52c51bdea61e","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","OAXACA","SANTIAGO YAITEPEC","","Santiago Yaitepec","","","1800.0","","","","","Gacetero | INEGI, 2005","","",""
"004e46c31e2a886fe1e5d7c34482662e","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","CHIAPAS","ARRIAGA","","Azteca","","","35.0","","","","","Gacetero | INEGI, 2005","","",""
"004f12718837ad4a1b31cccfc8db64db","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","NAYARIT","SANTIAGO IXCUINTLA","","Santiago Ixcuintla","","","15.0","","","","","Gacetero | INEGI, 2005","","",""
"005c81149104777d30b2b1ec6331391e","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Sierra Hermosa"", ""tipo"":""Estatal"", ""distancia"":""2.314 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","MEXICO","TECAMAC","","Ozumbilla","","","2260.0","","","","","Gacetero | INEGI, 2005","","",""
