"llaveejemplar","location_id","parent_location_id","higher_geography_id","higher_geography","continent","waterbody","islandgroup","island","nombrepaismapa","country_code","state_province","county","municipality","locality","minimum_elevation_in_meters","maximum_elevation_in_meters","minimum_distance_above_surface_in_meters","maximum_distance_above_surface_in_meters","minimum_depth_in_meters","maximum_depth_in_meters","vertical_datum","location_according_to","location_remarks","accepted_georreference_id","accepted_georreference_context_id"
"379b64d78371d47fdb3771282be18d76","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""Los Tuxtlas"", ""tipo"":""Federal"", ""distancia"":""3.94 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","SAN ANDRES TUXTLA","","Ranchoapan, a 2 Km de San Andrés Tuxtla","","","235.3","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"37bbc7ce1f8520d813d749fb9d7d2eec","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","NOPALUCAN","","Cerca de Nopalucán de La Granja","","","2461.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"37c6b28d54b7ff6664d4978c8737c55d","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","ORIENTAL","","Oriental","","","2344.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"37db89425b51d3552ebb4861e256e42a","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","ZACAPOAXTLA","","Ixtacapan","","","2316.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"37e3bd2e4bbc49aaabfa9fcb737b8f6e","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","LIBRES","","Barrio de Ahuateno","","","2460.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"3800539dde7399f350cd2010ba12dae2","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[{""nombre"":""La Montaña Malinche o Matlalcuéyatl"", ""tipo"":""Federal"", ""distancia"":""4.531 Kms""}], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","TEPATLAXCO DE HIDALGO","","Tepatlaxco de Hidalgo","","","2346.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"38015eabdb8626176c5c0461a66335d6","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","PUEBLA","TEPEACA","","Callejón","","","2720.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"380a59e6c6b878ab544efda33f7eeacd","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","TLAQUILPA","","Barrio de San Miguel","","","2336.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"381a3f52de1af2aa3ae811901d797cb2","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","HUEYAPAN DE OCAMPO","","Santa Rosa Cintepec, carretera Catemaco-Acayucan","","","481.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
"381e2a295d9e2c58a0970b97bc05ddce","","","","{""regionMarina"":{""nombre"":""""}, ""ANP"":[], ""regionConservacionAves"":{""nombre"":""""}, ""AICA"":{""nombre"":""""}}","","","","","MEXICO","","VERACRUZ DE IGNACIO DE LA LLAVE","CHICONQUIACO","","La Guacamaya, carretera a Misantla km 3 desviación a la derecha","","","1917.0","","","","","Geoposicionador | Garmin Etrex Vista","","",""
