"material_entity_id","material_entity_type","preparations","dispositions","institution_code","institution_id","collection_code","collection_id","owner_institution_code","catalog_number","recorder_by","recorder_by_id","associated_references","associated_secuences","other_catalog_numbers"
"a7e28025f028d21556d38b246324d0bd","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","28-AGS-28","Anastasio Morales Esparza","","","",""
"a7e6ca914e466239fca07c5b58a18cf6","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","9641-JAL-729","L Ordaz","","","",""
"a7ec8520563dff447068f5802d627f0b","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","629-CHIS-395","Rafael Ortega Paczka","","","",""
"a7f2edb2d569e05f9b424e6635a036d4","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1263-CHIH-328","","","","",""
"a7f5e2e6117a708377a6adb459fe1a0d","PreservedSpecimen","Germoplasma en conservación","","CIMMYT","","CIMMYT","","","10329-T.spp-7161-1","","","","",""
"a7f72ce8ec2352c26e6161b185f920c0","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","1219-CHIH-284","","","","",""
"a7f749ba8a42ae740da7744cbea0c9db","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2002-1218-1","Hugo Perales Rivera","","","",""
"a7f9819d283000ba2d8a664734bf073f","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","2126-GRO-52","Efraím Hernández-Xolocotzi Guzmán","","","",""
"a7fb6aafed94ce8f29d285c8ab96c590","PreservedSpecimen","Germoplasma en conservación","","CIRCE-CEVAMEX-INIFAP","","URG-BGM","","","3961-MEX-560","Raymundo Acosta Sánchez","","","",""
"a8005ff80324880ee9df99639f401f8f","PreservedSpecimen","Germoplasma en conservación","","ECOSUR","","CH","","","2000-0359-3","Hugo Perales Rivera","","","",""
