identification_id,organism_id,identification_type,taxon_formula,verbatim_identification,type_status,identified_by,identified_by_id,date_identified,identification_references,identification_verification_status,identification_remarks,type_designation_type,type_designated_by
9020fac03d9e732131eecd1002ed820b956c3d73,5c6c5a4c24a038167535c4b46e1e33ab654dd3e4,features,A,,,Philippe Sagot,PS,,,,,,
a643f1288fbbef1407d267f5710621747e9d053f,efe366a5b1091b3e734cf04413dd2cf6011b7d28,features,A,,,Philippe Sagot,PS,,,,,,
1c3787bab57cd85becafeaa31ed38f6d9a3e10a0,cf579cfc9c148d9309dcc0b270e50dce443aeb7b,features,A,,,Philippe Sagot,PS,,,,,,
50d9805ad18540927febaa7c8838a2ad8f29af06,b4bad5285ae7c7b14f4042c57fa3c2d6f2f439c0,features,A,,,Philippe Sagot,PS,,,,,,
28698d6516e1e03c4eb856b3ab675b51cb54bc24,f624678705b17317e6eb76168a853031907e6e95,features,A,,,Jorge Mérida,JM,,,,,,
b226f91704ed450b0d4fcbb022c9ba6703217179,89655d1521ef5bd04f908432a188243cb900c644,features,A,,,Jorge Mérida,JM,,,,,,
0b7390c47999b60a40a71d08cae565f29da5b48b,096baaca187e9f43be7d93cb4ebf14a6026d834c,features,A,,,Jorge Mérida,JM,,,,,,
18287c3c2df3903dedc391f503236f1364d43f59,b209e3d998bd601c5d7aa828bb426386b28809ab,features,A,,,Philippe Sagot,PS,,,,,,
ea8e4519d640677be4d9ed1fb546b04bb2153bf0,3832b97065d92616327504897a569e0afd8ba227,features,A,,,M.Duennes,MD,,,,,,
9bf0eddc6c31445581811c547f7fcf388329d196,0191fe4209dcad7c6ed92553f6ecb162f44b2abc,features,A,,,Jorge Mérida,JM,,,,,,
4f7e31757a968004aeda1c9c1b3df201ae446809,2d1b733e83c9a6ece142ef06f7d467dfefb784c6,features,A,,,Philippe Sagot,PS,,,,,,
68ee304c496d7494366c4ce306a548af7fcf754f,9dcd297652758b689ef3b2c933dafbafcb9a2dc6,features,A,,,Philippe Sagot,PS,,,,,,
3c8afa72e2fbf0f5033ba95e308d796203c65583,d72143e087e3274501918baff4cb70e7dc0a9ba5,features,A,,,Philippe Sagot,PS,,,,,,
3ca89b9548eb240d3c5a747da2434f379817c229,43316ee74e38632a3dedddcafdab9130a327b3f3,features,A,,,Philippe Sagot,PS,,,,,,
ca5e20e6f9ab90cc039dfec9638a25d7c46d4953,080ddd859f3fbb7adb19270b5c501d41bd53b97f,features,A,,,Philippe Sagot,PS,,,,,,
ac77c31d36603ff7cf88617703c842cf09352816,a58726ffc3e36c013e43b494086b674538b62b69,features,A,,,M.Duennes,MD,,,,,,
e9c2c32a4d573155e1e156b295c55b05fa37cf21,74223538b32c853b815221d85a24f4675f170b1f,features,A,,,M.Duennes,MD,,,,,,
cacbcbb760f8bf110347f857c8a57f97764c5537,4e19142486acc86c6f9e6e8a9b478741affe4082,features,A,,,M.Duennes,MD,,,,,,
22f52db50eeb690fa4995bf812bcf2c449aef616,d9fd8b1eb9313c7db4cdb081eda4b7d6f96e13df,features,A,,,M.Duennes,MD,,,,,,
