material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
5c6c5a4c24a038167535c4b46e1e33ab654dd3e4,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10125,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:10125
efe366a5b1091b3e734cf04413dd2cf6011b7d28,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10139,,Jesús López,JL,,,ECOSUR-SC:ECOAB:10139
cf579cfc9c148d9309dcc0b270e50dce443aeb7b,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10140,,Miguel Santiz,MS,,,ECOSUR-SC:ECOAB:10140
b4bad5285ae7c7b14f4042c57fa3c2d6f2f439c0,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10238,,Franklin Rocha,FR,,,ECOSUR-SC:ECOAB:10238
f624678705b17317e6eb76168a853031907e6e95,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10242,,Miguel Guzmán,MG,,,ECOSUR-SC:ECOAB:10242
89655d1521ef5bd04f908432a188243cb900c644,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10346,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:10346
096baaca187e9f43be7d93cb4ebf14a6026d834c,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10347,,Marcos Hurtado,MH,,,ECOSUR-SC:ECOAB:10347
b209e3d998bd601c5d7aa828bb426386b28809ab,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10416,,Jesús López,JL,,,ECOSUR-SC:ECOAB:10416
3832b97065d92616327504897a569e0afd8ba227,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10423,,César López,CL,,,ECOSUR-SC:ECOAB:10423
0191fe4209dcad7c6ed92553f6ecb162f44b2abc,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10453,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:10453
2d1b733e83c9a6ece142ef06f7d467dfefb784c6,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10455,,Omar Argüello,OA,,,ECOSUR-SC:ECOAB:10455
9dcd297652758b689ef3b2c933dafbafcb9a2dc6,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10470,,Miguel Santiz,MS,,,ECOSUR-SC:ECOAB:10470
d72143e087e3274501918baff4cb70e7dc0a9ba5,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10472,,Miguel Santiz,MS,,,ECOSUR-SC:ECOAB:10472
43316ee74e38632a3dedddcafdab9130a327b3f3,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10594,,Miguel Santiz,MS,,,ECOSUR-SC:ECOAB:10594
080ddd859f3fbb7adb19270b5c501d41bd53b97f,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,10657,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:10657
a58726ffc3e36c013e43b494086b674538b62b69,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1114,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:1114
74223538b32c853b815221d85a24f4675f170b1f,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1123,,Carlos Balboa,CB,,,ECOSUR-SC:ECOAB:1123
4e19142486acc86c6f9e6e8a9b478741affe4082,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1124,,Miguel Guzmán,MG,,,ECOSUR-SC:ECOAB:1124
d9fd8b1eb9313c7db4cdb081eda4b7d6f96e13df,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1125,,Miguel Cigarroa,MC,,,ECOSUR-SC:ECOAB:1125
fe1795231fa7ac607f62d923c1276d54892183e0,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1126,,Miguel Guzmán,MG,,,ECOSUR-SC:ECOAB:1126
4259a6629b670d694cf791b7ac24516af379ede6,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1127,,Miguel Guzmán,MG,,,ECOSUR-SC:ECOAB:1127
71fb4a7d63ef14d4284dbabbdeb4fc2516f855ee,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1128,,Miguel Cigarroa,MC,,,ECOSUR-SC:ECOAB:1128
1067bda20c835995655dcb3816a0b6c57958e98b,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1130,,Miguel Cigarroa,MC,,,ECOSUR-SC:ECOAB:1130
4529433bcf3bf2ce87994df5e27e5ec4e3e0dbd5,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1131,,Miguel Guzmán,MG,,,ECOSUR-SC:ECOAB:1131
b91bd192282644cdefe594c892c21833dd89ea29,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1132,,Miguel Guzmán,MG,,,ECOSUR-SC:ECOAB:1132
6863d081fa4c217225c731b431271347a460b891,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1133,,Miguel Guzmán,MG,,,ECOSUR-SC:ECOAB:1133
eb8b0e24a6ea98c9c750c389565b2390a1e171cd,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1136,,Alonso López,AL,,,ECOSUR-SC:ECOAB:1136
68a3d5340895f4ead15ddd6ae2d108e5b5fc1219,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1137,,Miguel Cigarroa,MC,,,ECOSUR-SC:ECOAB:1137
95fc0d43713eec5b0b88bd9f6abe864199cf8fec,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1138,,César López,CL,,,ECOSUR-SC:ECOAB:1138
72fbcf60e4179c6ecfe5b759f09f02a187248577,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1139,,Alonso López,AL,,,ECOSUR-SC:ECOAB:1139
fc168672c9768f86cf7fe393fa3c1910a02c9099,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1140,,Alonso López,AL,,,ECOSUR-SC:ECOAB:1140
c39e32021e1dc252513bbf271e3793f5909407b7,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1141,,Miguel Cigarroa,MC,,,ECOSUR-SC:ECOAB:1141
669ef64c14ae521c390c01f357ab0a2f20d27194,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1142,,César López,CL,,,ECOSUR-SC:ECOAB:1142
a273f4d398a5c44d6eef51bfa2bd9335c81735b2,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1143,,Alonso López,AL,,,ECOSUR-SC:ECOAB:1143
097cbcd7edae1c78b47a4719514e5fce8624e3f2,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1144,,César López,CL,,,ECOSUR-SC:ECOAB:1144
c4c44c9970ff46014801f0ef53b1c62043b996f7,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,1145,,Alonso López,AL,,,ECOSUR-SC:ECOAB:1145
