taxon_id,scientific_name,scientific_name_authorship,name_according_to,name_according_to_id,taxon_rank,taxon_source,scientific_name_id,taxon_remarks,parent_taxon_id,taxonomic_status,kingdom,phylum,class,order,family,subfamily,genus,subgenus,accepted_scientific_name
cdebb5720adaffe77747abfa1145c24649d71fec,Cirsium,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Cirsium,,
ee757ba057f12e1183326e5465084a23b606b398,Brassica juncea,,,,species,,,"{""verbatimScientificName"": ""Brassica juncea""}",,,Plantae,Tracheophyta,Equisetopsida,Brassicales,Brassicaceae,,Brassica,,
ab8604f091db8e4a4719630e155cc5af226566f9,Cucurbita,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Cucurbitales,Cucurbitaceae,,Cucurbita,,
a55501d4c60b71bf1972ccc4f2967cea6b5b3049,Tithonia,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Tithonia,,
654da968fa21ec4106213b2b1fc9bbb7db9ccea5,Anoda,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Malvales,Malvaceae,,Anoda,,
837aee71c5c986b7ad620a7eb1dd45676fffeb66,Ipomoea,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Solanales,Convolvulaceae,,Ipomoea,,
823b6165a3c7516c4a03135a8bf64758fba3af6f,Sida,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Malvales,Malvaceae,,Sida,,
23ee1afb4fdb1db36c96ec580e29b665a789c9f5,Trixis,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Trixis,,
0ff9be9cec7952af12479555c9afe3aabd41f20a,Callisia multiflora,,,,species,,,"{""verbatimScientificName"": ""Callisia multiflora""}",,,Plantae,Tracheophyta,Equisetopsida,Commelinales,Commelinaceae,,Callisia,,
a9e01913588dd2242c3ab0a853961f57ffcd4f48,Tecoma stans,,,,species,,,"{""verbatimScientificName"": ""Tecoma stans""}",,,Plantae,Tracheophyta,Equisetopsida,Lamiales,Bignoniaceae,,Tecoma,,
8f2a487e6e2bb1a548533ad7b7c31d5f53a556c5,Sigesbeckia agrestis,,,,species,,,"{""verbatimScientificName"": ""Sigesbeckia agrestis""}",,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Sigesbeckia,,
1a0170cddde3fdb4a771e476697af7167fe9dbe7,Dahlia,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Dahlia,,
342a5d0fff050eee875711cde1b13b3b227c589f,Musa paradisiaca,,,,species,,,"{""verbatimScientificName"": ""Musa paradisiaca""}",,,Plantae,Tracheophyta,Equisetopsida,Zingiberales,Musaceae,,Musa,,
8ba0c033a9b35765f19b0a99a083bb933e74d29e,Zea mays,,,,species,,,"{""verbatimScientificName"": ""Zea mays""}",,,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,,Zea,,
1f544e3d10a595367ac8e0c002a6e6292cff6771,Physalis,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,,Physalis,,
42b3aa80e718ff2fc467eb59073a3047b9fe04fd,Salvia,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Lamiales,Lamiaceae,,Salvia,,
1905017a40cfe17e4f7629ea96ce32f255811cdd,Loganiaceae,,,,family,,,,,,Plantae,Tracheophyta,Equisetopsida,Gentianales,Loganiaceae,,,,
1d9204ae0d7f5d07f0cab087603a809e99c73b38,Asteraceae,,,,family,,,,,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,,,
a18ed86e7376c5b0c55cb8b04b947adbb6032767,Asclepias curassavica,,,,species,,,"{""verbatimScientificName"": ""Asclepias curassavica""}",,,Plantae,Tracheophyta,Equisetopsida,Gentianales,Apocynaceae,,Asclepias,,
9b4fa096f52da5b78fc9288d11b4c39a88fe1a2f,Mimosa,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Mimosa,,
e06f82f8f370773011bd10cb0a16bfec62029cef,Phaseolus coccineus,,,,species,,,"{""verbatimScientificName"": ""Phaseolus coccineus""}",,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Phaseolus,,
feb743a705fc14ebc2e6b758718412655f11c575,Melampodium divaricatum,,,,species,,,"{""verbatimScientificName"": ""Melampodium divaricatum""}",,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Melampodium,,
cc773440e59008deeb7092a8ba51e2e47f68c79e,Coffea arabica,,,,species,,,"{""verbatimScientificName"": ""Coffea arabica""}",,,Plantae,Tracheophyta,Equisetopsida,Gentianales,Rubiaceae,,Coffea,,
67c0897763e574ee5f08f2743f951eb82139dfdc,Fabaceae,,,,family,,,,,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,,,
0919772abe9852b5401b9a2242586b1cf58e5a03,Acanthaceae,,,,family,,,,,,Plantae,Tracheophyta,Equisetopsida,Lamiales,Acanthaceae,,,,
0985f26c1fbdd2ba55ad59d1b6f7abacccfea684,Lamiaceae,,,,family,,,,,,Plantae,Tracheophyta,Equisetopsida,Lamiales,Lamiaceae,,,,
1ebba5bb6372ebdc17e1b7cb93e456ba742c0a05,Oxalis,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Oxalidales,Oxalidaceae,,Oxalis,,
47c73b8edbf2f7d09b257948e498a2f84aade9ae,Euphorbia,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Euphorbiaceae,,Euphorbia,,
