occurrenceID,relatedResourceID,resourceID,relationshipOfResource,relationshipOfResourceID
ECOSUR-SC:ECOAB:10125,CIRSP,ECOSUR-SC:ECOAB:10125,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10139,BRAJUN,ECOSUR-SC:ECOAB:10139,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10140,CUCSP,ECOSUR-SC:ECOAB:10140,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10238,TITSP,ECOSUR-SC:ECOAB:10238,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10242,ANOSP,ECOSUR-SC:ECOAB:10242,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10346,IPOSP,ECOSUR-SC:ECOAB:10346,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10347,SIDSP,ECOSUR-SC:ECOAB:10347,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10416,CUCSP,ECOSUR-SC:ECOAB:10416,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10423,TRXSP,ECOSUR-SC:ECOAB:10423,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10453,CALMUL,ECOSUR-SC:ECOAB:10453,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10455,TECSTA,ECOSUR-SC:ECOAB:10455,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10470,SIGAGR,ECOSUR-SC:ECOAB:10470,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10472,SIGAGR,ECOSUR-SC:ECOAB:10472,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10594,SIGAGR,ECOSUR-SC:ECOAB:10594,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:10657,DAHSP,ECOSUR-SC:ECOAB:10657,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1114,MUSPAR,ECOSUR-SC:ECOAB:1114,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1123,ZEAMAY,ECOSUR-SC:ECOAB:1123,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1124,PHYSP,ECOSUR-SC:ECOAB:1124,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1125,SALSP,ECOSUR-SC:ECOAB:1125,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1126,LOGFAM,ECOSUR-SC:ECOAB:1126,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1127,LOGFAM,ECOSUR-SC:ECOAB:1127,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1128,ASTFAM,ECOSUR-SC:ECOAB:1128,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1130,ASTFAM,ECOSUR-SC:ECOAB:1130,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1131,ASTFAM,ECOSUR-SC:ECOAB:1131,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1132,ASTFAM,ECOSUR-SC:ECOAB:1132,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1133,ASTFAM,ECOSUR-SC:ECOAB:1133,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1136,SALSP,ECOSUR-SC:ECOAB:1136,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
ECOSUR-SC:ECOAB:1137,ASCCUR,ECOSUR-SC:ECOAB:1137,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
