identification_id,organism_id,identification_type,taxon_formula,verbatim_identification,type_status,identified_by,identified_by_id,date_identified,identification_references,identification_verification_status,identification_remarks,type_designation_type,type_designated_by,,,,,,,,,,,,
catid_id_14018202_1,https://n2t.net/ark:/65665/3ce0ad528-92fc-4b8d-a074-54edc2a50ef5,,,Ficus modesta (Conrad),,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,Unverified,ID transcribed from label and not verified. Verbatim taxonomy: Ficus modesta (Conrad),,,,,,,,,,,,,,
catid_id_14017730_1,https://n2t.net/ark:/65665/399adfb6a-49d4-45e7-b56c-33fb3716c54a,,,Unidentified gastropods,,,,,,Unverified,ID transcribed from label. Verbatim taxonomy: Unidentified gastropods,,,,,,,,,,,,,,
catid_id_14017423_1,https://n2t.net/ark:/65665/375cdb939-fe15-42ef-8a88-3a18573757e7,,,Katherinella (Katherinella) angustifrons (Conrad),,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,Unverified,ID transcribed from label and not verified. Verbatim taxonomy: Katherinella (Katherinella) angustifrons (Conrad),,,,,,,,,,,,,,
catid_id_14020681_1,https://n2t.net/ark:/65665/3f5c9051b-7e17-47e4-8ae1-07f79317ee80,,,Macoma arctata (Conrad),,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,Unverified,ID transcribed from label and not verified. Verbatim taxonomy: Macoma arctata (Conrad),,,,,,,,,,,,,,
catid_id_3166854_1,https://n2t.net/ark:/65665/34753f84c-cdd4-44a6-80b7-1b118133ac0c,,,Priscofusus aff. geniculus (Conrad),Figured,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,,,,,,
catid_id_14020973_1,https://n2t.net/ark:/65665/30e746282-73bd-4c66-ab75-c6ec5d922dfd,,,Macoma arctata (Conrad),,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,Unverified,ID transcribed from label and not verified. Verbatim taxonomy: Macoma arctata (Conrad),,,,,,,,,,,,,,
catid_id_14021676_1,https://n2t.net/ark:/65665/341353620-708c-4987-aa2e-91696748b071,,,Solen cf. curtus Conrad,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,Unverified,ID transcribed from label and not verified. Verbatim taxonomy: Solen cf. curtus Conrad,,,,,,,,,,,,,,
catid_id_14019189_1,https://n2t.net/ark:/65665/30c64d7c7-5d15-42d6-b911-9895addb1545,,,Gastropoda,,Holly Little,https://orcid.org/0000-0001-7909-4166,28-Aug-23,,Verified,Identified to class only. Specimen requires further identification,,,,,,,,,,,,,,
catid_id_14018988_1,https://n2t.net/ark:/65665/35a3f612b-e674-4824-ba65-288f6af81b58,,,Crepidula praerupta (Conrad),,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,Unverified,ID transcribed from label and not verified. Verbatim taxonomy: Crepidula praerupta (Conrad),,,,,,,,,,,,,,
catid_id_14020845_1,https://n2t.net/ark:/65665/3cc15dcd2-986d-4707-88b3-65f2507ef2bc,,,Macoma albaria (Conrad),,,,,,Unverified,ID transcribed from label and not verified. Verbatim taxonomy: Macoma albaria (Conrad),,,,,,,,,,,,,,
