material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers,,,,,,,,,,
https://n2t.net/ark:/65665/34753f84c-cdd4-44a6-80b7-1b118133ac0c,Organism,,,USNM,,PAL,,USNM,MO 563168,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/30e746282-73bd-4c66-ab75-c6ec5d922dfd,Organism,,,USNM,,PAL,,USNM,PAL 671215,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/341353620-708c-4987-aa2e-91696748b071,Organism,,,USNM,,PAL,,USNM,PAL 671053,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/30c64d7c7-5d15-42d6-b911-9895addb1545,Organism,,,USNM,,PAL,,USNM,PAL 669434,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/35a3f612b-e674-4824-ba65-288f6af81b58,Organism,,,USNM,,PAL,,USNM,PAL 669172,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3a57efeb6-442a-4f34-ade7-87ca844ccd0f,Organism,,,USNM,,PAL,,USNM,PAL 668539,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3e4d68a9c-55d2-4310-96ec-2a71e1336d8b,Organism,,,USNM,,PAL,,USNM,PAL 668766,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3e382442a-b4e5-4618-b7f6-7119fc146d81,Organism,,,USNM,,PAL,,USNM,PAL 669168,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3274798f1-d0f4-4c59-8d8e-0a14b06f8c93,Organism,,,USNM,,PAL,,USNM,PAL 668341,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/319198e92-16a0-4ee0-b6aa-6fc39c0c2394,Organism,,,USNM,,PAL,,USNM,PAL 688651,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/32e4b358e-91f9-4dec-9437-96a3c14da107,Organism,,,USNM,,PAL,,USNM,PAL 689650,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3713f444d-9e74-4706-b6c7-1b315538223c,Organism,,,USNM,,PAL,,USNM,PAL 692958,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3068a5c66-c823-479d-a29d-43ba6de4c30f,Organism,,,USNM,,PAL,,USNM,PAL 676035,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3c4dd14f8-0198-4db5-9c18-a37727b2d2ea,Organism,,,USNM,,PAL,,USNM,PAL 669643,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3ce0ad528-92fc-4b8d-a074-54edc2a50ef5,Organism,,,USNM,,PAL,,USNM,PAL 669912,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/33746cd02-ee05-4dd8-913a-c81feb391b5b,Organism,,,USNM,,PAL,,USNM,PAL 670185,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/3bdb5fff7-4901-40ca-8fcb-5e0a11423d36,Organism,,,USNM,,PAL,,USNM,PAL 670437,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/399adfb6a-49d4-45e7-b56c-33fb3716c54a,Organism,,,USNM,,PAL,,USNM,PAL 670613,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
https://n2t.net/ark:/65665/375cdb939-fe15-42ef-8a88-3a18573757e7,Organism,,,USNM,,PAL,,USNM,PAL 670785,,Ellen James Moore,https://www.wikidata.org/wiki/Q84708760,,,,,,,,,,,,,
