taxon_id,scientific_name,scientific_name_authorship,name_according_to,name_according_to_id,taxon_rank,taxon_source,scientific_name_id,taxon_remarks,parent_taxon_id,taxonomic_status,kingdom,phylum,class,order,family ,subfamily,genus,subgenus,accepted_scientific_name
https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=400071,Ficus modesta,(Conrad),,,Species,Paleobiology Database,,,,Unknown,Animalia,Mollusca,Gastropoda,,Ficidae,,Ficus,,
urn:lsid:marinespecies.org:taxname:101,Gastropoda,Cuvier,,,Class,World Registory of Marine Species,,,,Yes,Animalia,Mollusca,Gastropoda,,,,,,
USNM-TAX-3077351,Katherinella (Katherinella) angustifrons,(Conrad),,,Species,,,,,Unknown,Animalia,Mollusca,Bivalvia,,Veneridae,Cardiida,Katherinella,Katherinella,
https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=103026,Macoma arctata,(Conrad),,,Species,Paleobiology Database,,,,Unknown,Animalia,Mollusca,Bivalvia,,Tellinidae,,Macoma,,
https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=384740,Priscofusus geniculus,(Conrad),,,Species,Paleobiology Database,,,,Unknown,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,,Priscofusus,,
USNM-TAX-10803005,Solen cutus,Conrad,,,Species,,,,,Unknown,Animalia,Mollusca,Bivalvia,Venerida,Solenidae,,Solen,,
https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=90132,Crepidula praerupta,Conrad,,,Species,Paleobiology Database,,,,Unknown,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae,,Crepidula,,
https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=90160,Macoma albaria ,(Conrad),,,Species,Paleobiology Database,,,,Unknown,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,,Macoma,,
https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=437151,Anadara (Anadara) devincta,(Conrad),,,Species,Paleobiology Database,,,,Unknown,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,,Anadara,,
USNM-TAX-10269057,Eogryllus elongatus,Gorochov,,,Species,,,,,Accepted,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,,Eogryllus,,
USNM-TAX-10269077,Raphidioptera indet.,,,,Order,,,,,,Animalia,Arthropoda,Insecta,Raphidioptera,,,,,
USNM-TAX-5021600,Synodontidae,,,,Family,,,,,,Animalia,Chordata,Actinopterygii,Aulopiformes,Synodontidae,,,,
USNM-TAX-5021299,Callionymidae,,,,Family,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,,,,
USNM-TAX-5002146,Physiculus fulvus,,,,Species,,,,,,Animalia,Chordata,Actinopterygii,Gadiformes ,Moridae,,Physiculus,,
USNM-TAX-10197642,Choranthias,,,,Genus,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Anthiinae,Choranthias,,
USNM-TAX-5031958,Chrionema,,,,Genus,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Percophidae,Bembropinae,Chrionema,,
USNM-TAX-5140984,Anthias asperilinguis,,,,Species,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae ,Anthiinae,Anthias,,
USNM-TAX-5014857,Lythrypnus,,,,Genus,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Gobiinae,Lythrypnus,,
USNM-TAX-5013598,Epigonus,,,,Genus,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Epigonidae,,Epigonus,,
USNM-TAX-10225970,Varicus veliguttatus,James L. Van Tassel |Carole C. Baldwin| R. Grant Gilmore,,,Species,Zoological Journal of the Linnean Society,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Gobiinae,Varicus,,
USNM-TAX-59547,Octopus sp.,,,,Genus,,,,,,Animalia,Mollusca,Cephalopoda,Octopodida,Octopodidae,,Octopus,,
USNM-TAX-9157148,Craspedolepta amissa ,Wagner,,,Species,,,,,,Animalia,Arthropoda,Insecta,Hemiptera,Aphalaridae,Aphalarinae,Craspedolepta,,
USNM-TAX-10030193,Mallotus repandus ,(Willd.) Müll. Arg.,,,Species,,,,,,Plantae,,Dicotyledonae,Malpighiales,Euphorbiaceae,,Mallotus,,
USNM-TAX-2199429,Punctelia appalachensis ,(W.L. Culb.) Krog,,,Species,,,,,,Fungi,,Lecanoromycetes,Lecanorales,Parmeliaceae,,Punctelia,,
USNM-TAX-7004946,Taxidea taxus berlandieri,,,,Subspecies,,,,,,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustelinae,Taxidea,,
USNM-TAX-4008487,Perisoreus canadensis canadensis,,,,Subspecies,,,,,,Animalia,Chordata,Aves,Passeriformes,Corvidae,,Perisoreus,,
