taxon_ID,occurrenceID,scientific_name,scientific_name_authorship,original_name_usage,taxon_rank,taxon_source,scientific_name_id,taxon_remarks,parent_taxon_id,taxonomic_status,kingdom,phylum,class,order,family,subfamily,genus,subgenus,specificEpithet,accepted_scientific_name,vernacular_name
https://www.gbif.org/species/5993986,BR:Refauna:MNHN:Coleoptera:00067,"Acritus (Picnacritus) acinus Marseul, 1863","Marseul, 1863","Acritus acinus Marseul, 1863",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Acritus,Pycnacritus,acinus,,
https://www.gbif.org/species/1044847,BR:Refauna:MNHN:Coleoptera:00068,"Aeletes (Acritinus) floridae (Marseul, 1863)","Marseul, 1863","Acritus floridae Marseul, 1863",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Aeletes,Acritinus,floridae,,
https://www.gbif.org/species/5995678,BR:Refauna:MNHN:Coleoptera:00069,Paromalus (Isolomalus) causticus,"Marseul, 1862","Paromalus causticus Marseul, 1862",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Paromalus,Isolomalus,causticus,,
https://www.gbif.org/species/5995747,BR:Refauna:MNHN:Coleoptera:00070,"Xestipyge garbigliettii (Marseul, 1867)","Marseul, 1867","Carcinops garbigliettii Marseul, 1867",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Xestipyge,,garbigliettii,,
https://www.gbif.org/species/5993421,BR:Refauna:MNHN:Coleoptera:00071,"Carcinops (Carcinops) misella Marseul, 1855","Marseul, 1855","Carcinops misella Marseul, 1855",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Carcinops,Carcinops,misella,,
https://www.gbif.org/species/5993413,BR:Refauna:MNHN:Coleoptera:00072,"Carcinops (Carcinops) miserula Marseul, 1862","Marseul, 1862","Carcinops miserula Marseul, 1862",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Carcinops,Carcinops,miserula,,
https://www.gbif.org/species/5993408,BR:Refauna:MNHN:Coleoptera:00073,"Carcinops (Carcinops) tristicula Marseul, 1870","Marseul, 1870","Carcinops tristicula Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Carcinops,Carcinops,tristicula,,
https://www.gbif.org/species/5993338,BR:Refauna:MNHN:Coleoptera:00074,"Dimalus platamodes Marseul, 1870","Marseul, 1870","Dimalus platamodes Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Dimalus,,platamodes,,
https://www.gbif.org/species/5993213,BR:Refauna:MNHN:Coleoptera:00075,"Plagiogramma arciger (Marseul, 1855)","Marseul, 1855","Epierus arciger Marseul, 1855",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Plagiogramma,,arciger,,
https://www.gbif.org/species/5993206,BR:Refauna:MNHN:Coleoptera:00076,"Plagiogramma epulo (Marseul, 1870)","Marseul, 1870","Epierus epulo Marseul, 1870",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Plagiogramma,,epulo,,
