1.collectionobject.guid,"1,23.collection.primaryPurpose","1,29-collectionobjectcitations,69.referencework.guid","1,29-collectionobjectcitations,69.referencework.referenceWorkType","1,29-collectionobjectcitations.collectionobjectcitation.pageNumber","1,29-collectionobjectcitations.collectionobjectcitation.remarks"
dbef348e-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dbf7004a-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dc0de79d-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dbcb4ca6-1ed3-11e3-bfac-90b11c41863e,Organism,c6413dac-8b10-46d5-8a11-635bd285bc6a,2,,
dbdaa203-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
dbefbfd4-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dc52d12a-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
db543627-1ed3-11e3-bfac-90b11c41863e,Organism,f73f8d92-d101-4bc6-aa75-a6173247a0af,2,,
dc62138e-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
db3b816c-1ed3-11e3-bfac-90b11c41863e,Organism,22fe695a-4601-4c8d-af6b-e81eb400aa52,2,,
dc50221f-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
dbd64bfc-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dbf2160d-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dc545626-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
dbdc02cf-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dc6217c4-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
db77ace2-1ed3-11e3-bfac-90b11c41863e,Organism,c6413dac-8b10-46d5-8a11-635bd285bc6a,2,,
dc457260-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dca04969-1ed3-11e3-bfac-90b11c41863e,Organism,366a6c41-deba-46ee-a3a4-9477736d5542,2,,
dc0c6248-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dbf8747a-1ed3-11e3-bfac-90b11c41863e,Organism,bbf9a781-2137-4df6-8f68-09b52b59e821,2,,
dc5077c9-1ed3-11e3-bfac-90b11c41863e,Organism,0b4e5878-7e44-48d5-aaed-0161a86958ef,2,,
db9c5500-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
dcd2f7f3-1ed3-11e3-bfac-90b11c41863e,Organism,1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,2,,
dbdaa203-1ed3-11e3-bfac-90b11c41863e,Organism,5fa2e2c8-3b4f-4a0e-9e1b-27ae11ae4429,2,,
dcd2dbcd-1ed3-11e3-bfac-90b11c41863e,Organism,366a6c41-deba-46ee-a3a4-9477736d5542,2,,
dbdaa203-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
dc1182d8-1ed3-11e3-bfac-90b11c41863e,Organism,0b4e5878-7e44-48d5-aaed-0161a86958ef,2,,
db2a98f5-1ed3-11e3-bfac-90b11c41863e,Organism,1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,2,,
dbc3b4e9-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dc506adc-1ed3-11e3-bfac-90b11c41863e,Organism,0b4e5878-7e44-48d5-aaed-0161a86958ef,2,,
dcce0f2b-1ed3-11e3-bfac-90b11c41863e,Organism,22fe695a-4601-4c8d-af6b-e81eb400aa52,2,,
dc966531-1ed3-11e3-bfac-90b11c41863e,Organism,50295948-1e04-42ba-96a8-c3569695da21,2,,
dc9e24fe-1ed3-11e3-bfac-90b11c41863e,Organism,684541b4-93a3-4dd0-9bc0-7870523bd9ff,2,,
dc50221f-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
dcce56c0-1ed3-11e3-bfac-90b11c41863e,Organism,f73f8d92-d101-4bc6-aa75-a6173247a0af,2,,
dc4b8770-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
dc62138e-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
dbf319ce-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dc62d096-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dbd9f81c-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dc25bcba-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
dbe9d796-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dc63211c-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dccd43d7-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
dc9cad5c-1ed3-11e3-bfac-90b11c41863e,Organism,f73f8d92-d101-4bc6-aa75-a6173247a0af,2,,
dc566f50-1ed3-11e3-bfac-90b11c41863e,Organism,d92a3b92-74af-49f9-99a0-77d08fc6dabd,2,,
dc79e5ca-1ed3-11e3-bfac-90b11c41863e,Organism,c6413dac-8b10-46d5-8a11-635bd285bc6a,2,,
dc44e89b-1ed3-11e3-bfac-90b11c41863e,Organism,bbf9a781-2137-4df6-8f68-09b52b59e821,2,,
dc4ab0ab-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dcd8a36e-1ed3-11e3-bfac-90b11c41863e,Organism,f73f8d92-d101-4bc6-aa75-a6173247a0af,2,,
dc25bcba-1ed3-11e3-bfac-90b11c41863e,Organism,0b4e5878-7e44-48d5-aaed-0161a86958ef,2,,
