Attachment GUID,Metadata Text,Collection Object GUID
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba83f17-1ed3-11e3-bfac-90b11c41863e
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba842ce-1ed3-11e3-bfac-90b11c41863e
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba845f6-1ed3-11e3-bfac-90b11c41863e
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba8491a-1ed3-11e3-bfac-90b11c41863e
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba84c3d-1ed3-11e3-bfac-90b11c41863e
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba850e7-1ed3-11e3-bfac-90b11c41863e
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba85431-1ed3-11e3-bfac-90b11c41863e
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba85754-1ed3-11e3-bfac-90b11c41863e
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba85a73-1ed3-11e3-bfac-90b11c41863e
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba85d9a-1ed3-11e3-bfac-90b11c41863e
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba860bb-1ed3-11e3-bfac-90b11c41863e
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba863db-1ed3-11e3-bfac-90b11c41863e
d7d3ae5b-2616-49a8-a26a-672507277b3c,,dba866f4-1ed3-11e3-bfac-90b11c41863e
ad6a552c-066d-46e4-a7bd-f34987662bc8,,dba8fcab-1ed3-11e3-bfac-90b11c41863e
ad6a552c-066d-46e4-a7bd-f34987662bc8,,dba8ff2e-1ed3-11e3-bfac-90b11c41863e
ad6a552c-066d-46e4-a7bd-f34987662bc8,,dba9019a-1ed3-11e3-bfac-90b11c41863e
ad6a552c-066d-46e4-a7bd-f34987662bc8,,dba903fc-1ed3-11e3-bfac-90b11c41863e
3045c5f3-fc94-4d50-ab44-793a7d32ee0a,,dba90659-1ed3-11e3-bfac-90b11c41863e
3045c5f3-fc94-4d50-ab44-793a7d32ee0a,,dba908b8-1ed3-11e3-bfac-90b11c41863e
c25f79d1-706a-4c28-8f1f-d442ceb23a3b,,dba72c9f-1ed3-11e3-bfac-90b11c41863e
c25f79d1-706a-4c28-8f1f-d442ceb23a3b,,dba72f07-1ed3-11e3-bfac-90b11c41863e
c25f79d1-706a-4c28-8f1f-d442ceb23a3b,,dba7316f-1ed3-11e3-bfac-90b11c41863e
c25f79d1-706a-4c28-8f1f-d442ceb23a3b,,dba73bc6-1ed3-11e3-bfac-90b11c41863e
c25f79d1-706a-4c28-8f1f-d442ceb23a3b,,dba73f86-1ed3-11e3-bfac-90b11c41863e
c25f79d1-706a-4c28-8f1f-d442ceb23a3b,,dba74219-1ed3-11e3-bfac-90b11c41863e
c25f79d1-706a-4c28-8f1f-d442ceb23a3b,,dba7448e-1ed3-11e3-bfac-90b11c41863e
c25f79d1-706a-4c28-8f1f-d442ceb23a3b,,dba74710-1ed3-11e3-bfac-90b11c41863e
c25f79d1-706a-4c28-8f1f-d442ceb23a3b,,dba74989-1ed3-11e3-bfac-90b11c41863e
c25f79d1-706a-4c28-8f1f-d442ceb23a3b,,dc8e15fb-1ed3-11e3-bfac-90b11c41863e
559e8af3-f038-407e-b5f1-c79d2f361a24,,dba86a10-1ed3-11e3-bfac-90b11c41863e
559e8af3-f038-407e-b5f1-c79d2f361a24,,dba86d2a-1ed3-11e3-bfac-90b11c41863e
559e8af3-f038-407e-b5f1-c79d2f361a24,,dba87047-1ed3-11e3-bfac-90b11c41863e
559e8af3-f038-407e-b5f1-c79d2f361a24,,dba872c9-1ed3-11e3-bfac-90b11c41863e
559e8af3-f038-407e-b5f1-c79d2f361a24,,dba87546-1ed3-11e3-bfac-90b11c41863e
559e8af3-f038-407e-b5f1-c79d2f361a24,,dba877c4-1ed3-11e3-bfac-90b11c41863e
e8aadfdd-3cb9-4454-9f47-6cda05ea1844,,dba90b16-1ed3-11e3-bfac-90b11c41863e
e8aadfdd-3cb9-4454-9f47-6cda05ea1844,,dba90d73-1ed3-11e3-bfac-90b11c41863e
e8aadfdd-3cb9-4454-9f47-6cda05ea1844,,dba917d8-1ed3-11e3-bfac-90b11c41863e
e8aadfdd-3cb9-4454-9f47-6cda05ea1844,,dba91a47-1ed3-11e3-bfac-90b11c41863e
fd7f0d50-cc98-4e24-9631-b2610e4888b3,,dba8931f-1ed3-11e3-bfac-90b11c41863e
