Collection Object GUID,Metadata Text,DNA Sequences Text3,,,
db46a51c-1ed3-11e3-bfac-90b11c41863e,,548631fb-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AB889686
db46a51c-1ed3-11e3-bfac-90b11c41863e,,54863242-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AB893469
db46a51c-1ed3-11e3-bfac-90b11c41863e,,54863288-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AB893591
db46a51c-1ed3-11e3-bfac-90b11c41863e,,548632ce-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AB890119
dc728656-1ed3-11e3-bfac-90b11c41863e,,5471a4e8-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/FJ870413 
dc728656-1ed3-11e3-bfac-90b11c41863e,,5472a32b-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/FJ870452 
dc728656-1ed3-11e3-bfac-90b11c41863e,,5472b62f-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/FJ870491 
dc728656-1ed3-11e3-bfac-90b11c41863e,,548d04ed-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/SRX10074995
dc728656-1ed3-11e3-bfac-90b11c41863e,,548d0536-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/SRX9672998
dc7299e3-1ed3-11e3-bfac-90b11c41863e,,547040b8-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF055612 
dc7299e3-1ed3-11e3-bfac-90b11c41863e,,5472e542-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF055591 
dc729dc6-1ed3-11e3-bfac-90b11c41863e,,546ea71a-a0b5-11ed-803c-6c2b597b15e2,,,https://www.ncbi.nlm.nih.gov/nuccore/AF152151 
