"1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text3","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text2","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.moleculeType","1,99-leftsiderels,1-rightside,121-dnasequences,5-sequencer.dnasequence.sequencer"
548631fb-a0b5-11ed-803c-6c2b597b15e2,AB889686,"12S, tRNA-Val, 16S","Mabuchi, Kohji"
54863242-a0b5-11ed-803c-6c2b597b15e2,AB893469,Rag1,"Mabuchi, Kohji"
54863288-a0b5-11ed-803c-6c2b597b15e2,AB893591,ENC1,"Mabuchi, Kohji"
548632ce-a0b5-11ed-803c-6c2b597b15e2,AB890119,CO1,"Mabuchi, Kohji"
5471a4e8-a0b5-11ed-803c-6c2b597b15e2,FJ870413 ,16S,"Roje, Dawn M"
5472a32b-a0b5-11ed-803c-6c2b597b15e2,FJ870452 ,ND1,"Roje, Dawn M"
5472b62f-a0b5-11ed-803c-6c2b597b15e2,FJ870491 ,Rag2,"Roje, Dawn M"
548d04ed-a0b5-11ed-803c-6c2b597b15e2,SRX10074995,UCE,"Atta, Calder J"
548d0536-a0b5-11ed-803c-6c2b597b15e2,SRX9672998,UCE,"Atta, Calder J"
547040b8-a0b5-11ed-803c-6c2b597b15e2,AF055612 ,16S,"Tang, Kevin L"
5472e542-a0b5-11ed-803c-6c2b597b15e2,AF055591 ,12S,"Tang, Kevin L"
546ea71a-a0b5-11ed-803c-6c2b597b15e2,AF152151 ,28S,"Wiley, Edward O"
546f7358-a0b5-11ed-803c-6c2b597b15e2,AF150646 ,28S,"Wiley, Edward O"
546f95fa-a0b5-11ed-803c-6c2b597b15e2,AF153294 ,28S,"Wiley, Edward O"
54705fd7-a0b5-11ed-803c-6c2b597b15e2,AF149991 ,12S,"Wiley, Edward O"
54706339-a0b5-11ed-803c-6c2b597b15e2,AF152124 ,28S,"Wiley, Edward O"
5471f5cb-a0b5-11ed-803c-6c2b597b15e2,AF488450 ,16S,"Berendzen, Peter B"
54743f4c-a0b5-11ed-803c-6c2b597b15e2,AF488500 ,12S,"Berendzen, Peter B"
547ebf9d-a0b5-11ed-803c-6c2b597b15e2,KC831357,zic1,"Broughton, Richard E"
54831412-a0b5-11ed-803c-6c2b597b15e2,JQ939064,16S,"Betancur, Ricardo"
54831462-a0b5-11ed-803c-6c2b597b15e2,JQ938892,EHHADH,"Betancur, Ricardo"
548314b1-a0b5-11ed-803c-6c2b597b15e2,JQ938210,GCS1,"Betancur, Ricardo"
548314fb-a0b5-11ed-803c-6c2b597b15e2,JQ938731,GPR61,"Betancur, Ricardo"
54831547-a0b5-11ed-803c-6c2b597b15e2,JQ939196,IRBP,"Betancur, Ricardo"
54831591-a0b5-11ed-803c-6c2b597b15e2,JQ938301,RAG1,"Betancur, Ricardo"
548315db-a0b5-11ed-803c-6c2b597b15e2,JQ938041,RH,"Betancur, Ricardo"
54831629-a0b5-11ed-803c-6c2b597b15e2,JQ940055,ripk4,"Betancur, Ricardo"
54831673-a0b5-11ed-803c-6c2b597b15e2,JQ939731,RNF213,"Betancur, Ricardo"
548316ba-a0b5-11ed-803c-6c2b597b15e2,JQ937774,sidkey,"Betancur, Ricardo"
54831705-a0b5-11ed-803c-6c2b597b15e2,JQ938434,SLC10A3,"Betancur, Ricardo"
54831c5d-a0b5-11ed-803c-6c2b597b15e2,JQ937924,UBE3A,"Betancur, Ricardo"
54831cbd-a0b5-11ed-803c-6c2b597b15e2,JQ937487,UBE3A_like,"Betancur, Ricardo"
54831d08-a0b5-11ed-803c-6c2b597b15e2,JQ939359,znf503,"Betancur, Ricardo"
5489d15d-a0b5-11ed-803c-6c2b597b15e2,KC825941,Hoxc6a,"Betancur, Ricardo"
5489d495-a0b5-11ed-803c-6c2b597b15e2,KC827414,Panx2,"Betancur, Ricardo"
5489d4e5-a0b5-11ed-803c-6c2b597b15e2,KC826853,kiaa1239,"Betancur, Ricardo"
5489d530-a0b5-11ed-803c-6c2b597b15e2,KC829708,SNX33,"Betancur, Ricardo"
5470a959-a0b5-11ed-803c-6c2b597b15e2,AF488446 ,16S,"Berendzen, Peter B"
5474993e-a0b5-11ed-803c-6c2b597b15e2,AF488496 ,12S,"Berendzen, Peter B"
5485a45c-a0b5-11ed-803c-6c2b597b15e2,KF930465,CO1,Barcode of Life Initiative
546e949d-a0b5-11ed-803c-6c2b597b15e2,AY700335 ,Rag1,"Holcroft Benson, Nancy I"
54707f99-a0b5-11ed-803c-6c2b597b15e2,AY679649 ,16S,"Holcroft Benson, Nancy I"
5473ba34-a0b5-11ed-803c-6c2b597b15e2,AY700265 ,12S,"Holcroft Benson, Nancy I"
546e7bdb-a0b5-11ed-803c-6c2b597b15e2,JX190213 ,ptr,"Wainwright, Peter C"
546ef0f7-a0b5-11ed-803c-6c2b597b15e2,JX188806 ,Glyt,"Wainwright, Peter C"
546f0cfd-a0b5-11ed-803c-6c2b597b15e2,JX189286 ,tbr1,"Wainwright, Peter C"
546fab48-a0b5-11ed-803c-6c2b597b15e2,JX189499 ,SH3PX3,"Wainwright, Peter C"
54703615-a0b5-11ed-803c-6c2b597b15e2,JX190047 ,sreb2,"Wainwright, Peter C"
54704ab6-a0b5-11ed-803c-6c2b597b15e2,JX189907 ,Rag1,"Wainwright, Peter C"
547078ac-a0b5-11ed-803c-6c2b597b15e2,JX189745 ,myh6,"Wainwright, Peter C"
547190ab-a0b5-11ed-803c-6c2b597b15e2,JX189132 ,zic1,"Wainwright, Peter C"
5473f2bb-a0b5-11ed-803c-6c2b597b15e2,JX188979 ,ENC1,"Wainwright, Peter C"
54740456-a0b5-11ed-803c-6c2b597b15e2,JX189427 ,plagl2,"Wainwright, Peter C"
548d2447-a0b5-11ed-803c-6c2b597b15e2,SRX13089848,UCE,"Harrington, Richard C"
54764d64-a0b5-11ed-803c-6c2b597b15e2,KC825371,ficd,"Orti, Guillermo"
5477280c-a0b5-11ed-803c-6c2b597b15e2,KC826074,Hoxc6a,"Broughton, Richard E"
5477db47-a0b5-11ed-803c-6c2b597b15e2,KC826640,kiaa1239,"Orti, Guillermo"
547b1c82-a0b5-11ed-803c-6c2b597b15e2,KC828456,PTCHD1,"Lopez, Andres"
547d9cda-a0b5-11ed-803c-6c2b597b15e2,KC830009,SVEP1,"Lopez, Andres"
547f2217-a0b5-11ed-803c-6c2b597b15e2,KC830765,zic1,"Broughton, Richard E"
5472fa11-a0b5-11ed-803c-6c2b597b15e2,HQ168919 ,Rho,"Lin, Hsui-Chin"
547330c1-a0b5-11ed-803c-6c2b597b15e2,HQ168679 ,H3,"Lin, Hsui-Chin"
547365ff-a0b5-11ed-803c-6c2b597b15e2,HQ168568 ,CO1,"Lin, Hsui-Chin"
54736f51-a0b5-11ed-803c-6c2b597b15e2,HQ169041 ,TMO-4C4,"Lin, Hsui-Chin"
5473b148-a0b5-11ed-803c-6c2b597b15e2,HQ168797 ,Rag1,"Lin, Hsui-Chin"
5477eb37-a0b5-11ed-803c-6c2b597b15e2,KC826797,kiaa1239,"Orti, Guillermo"
547d3947-a0b5-11ed-803c-6c2b597b15e2,KC829843,SH3PX3,"Carpenter, Kent E"
548026ca-a0b5-11ed-803c-6c2b597b15e2,KF140552,zic1,"Near, Thomas J"
54802712-a0b5-11ed-803c-6c2b597b15e2,KF140760,plagl2,"Near, Thomas J"
5480275a-a0b5-11ed-803c-6c2b597b15e2,KF139586,ENC1,"Near, Thomas J"
548027a2-a0b5-11ed-803c-6c2b597b15e2,KF141006,ptr,"Near, Thomas J"
548027ea-a0b5-11ed-803c-6c2b597b15e2,KF141260,Rag1,"Near, Thomas J"
54802831-a0b5-11ed-803c-6c2b597b15e2,KF140366,tbr1,"Near, Thomas J"
54709a4c-a0b5-11ed-803c-6c2b597b15e2,AF285936 ,12S,"Tang, Kevin L"
54740d8f-a0b5-11ed-803c-6c2b597b15e2,AF285958 ,16S,"Tang, Kevin L"
548b60ff-a0b5-11ed-803c-6c2b597b15e2,MW630266,12S,"Tang, Kevin L"
548b6148-a0b5-11ed-803c-6c2b597b15e2,MW631064,cyt b,"Tang, Kevin L"
548b6192-a0b5-11ed-803c-6c2b597b15e2,MW631465,Rag1,"Tang, Kevin L"
548b61db-a0b5-11ed-803c-6c2b597b15e2,MW631258,H3,"Tang, Kevin L"
548b6225-a0b5-11ed-803c-6c2b597b15e2,MW631654,TMO-4C4,"Tang, Kevin L"
548b626f-a0b5-11ed-803c-6c2b597b15e2,MW630651,ATPase8 and 6,"Tang, Kevin L"
548b62b9-a0b5-11ed-803c-6c2b597b15e2,MW630856,CO1,"Tang, Kevin L"
547dcc49-a0b5-11ed-803c-6c2b597b15e2,KC830230,tbr1,"Lopez, Andres"
548b68c0-a0b5-11ed-803c-6c2b597b15e2,MW630273,12S,"Tang, Kevin L"
548b690b-a0b5-11ed-803c-6c2b597b15e2,MW630657,ATPase8 and 6,"Tang, Kevin L"
548b695a-a0b5-11ed-803c-6c2b597b15e2,MW631266,H3,"Tang, Kevin L"
548b69ab-a0b5-11ed-803c-6c2b597b15e2,MW631070,cyt b,"Tang, Kevin L"
548b6a2c-a0b5-11ed-803c-6c2b597b15e2,MW630457,16S,"Tang, Kevin L"
548b6aa8-a0b5-11ed-803c-6c2b597b15e2,MW631472,Rag1,"Tang, Kevin L"
548b6b44-a0b5-11ed-803c-6c2b597b15e2,MW631661,TMO-4C4,"Tang, Kevin L"
548b6bc4-a0b5-11ed-803c-6c2b597b15e2,MW630864,CO1,"Tang, Kevin L"
5485a4d6-a0b5-11ed-803c-6c2b597b15e2,KF929919,CO1,Barcode of Life Initiative
546fa5e2-a0b5-11ed-803c-6c2b597b15e2,AY700314 ,Rag1,"Holcroft Benson, Nancy I"
54726a15-a0b5-11ed-803c-6c2b597b15e2,AY679628 ,16S,"Holcroft Benson, Nancy I"
54736315-a0b5-11ed-803c-6c2b597b15e2,AY700244 ,12S,"Holcroft Benson, Nancy I"
5470be26-a0b5-11ed-803c-6c2b597b15e2,AF285941 ,16S,"Tang, Kevin L"
5473d8ba-a0b5-11ed-803c-6c2b597b15e2,AF285919 ,12S,"Tang, Kevin L"
548a6efb-a0b5-11ed-803c-6c2b597b15e2,MW630152,12S,"Tang, Kevin L"
548a6f71-a0b5-11ed-803c-6c2b597b15e2,MW630948,cyt b,"Tang, Kevin L"
548a6fdf-a0b5-11ed-803c-6c2b597b15e2,MW631353,Rag1,"Tang, Kevin L"
548a71f6-a0b5-11ed-803c-6c2b597b15e2,MW630537,ATPase8 and 6,"Tang, Kevin L"
548a729f-a0b5-11ed-803c-6c2b597b15e2,MW631145,H3,"Tang, Kevin L"
548a750b-a0b5-11ed-803c-6c2b597b15e2,MW630735,CO1,"Tang, Kevin L"
5485a550-a0b5-11ed-803c-6c2b597b15e2,KF930133,CO1,Barcode of Life Initiative
546fe69f-a0b5-11ed-803c-6c2b597b15e2,AF153307 ,28ff,"Wiley, Edward O"
54702389-a0b5-11ed-803c-6c2b597b15e2,AF150004 ,12S,"Wiley, Edward O"
547309da-a0b5-11ed-803c-6c2b597b15e2,AF150659 ,28ee,"Wiley, Edward O"
5474bb46-a0b5-11ed-803c-6c2b597b15e2,AF152137 ,28mm,"Wiley, Edward O"
5474c77a-a0b5-11ed-803c-6c2b597b15e2,AF152164 ,28wx,"Wiley, Edward O"
54744792-a0b5-11ed-803c-6c2b597b15e2,AY828965 ,cyt b,"Harris, Philip M"
546fcdf2-a0b5-11ed-803c-6c2b597b15e2,AF152138 ,28mm,"Wiley, Edward O"
5470e203-a0b5-11ed-803c-6c2b597b15e2,AF152165 ,28wx,"Wiley, Edward O"
5472588c-a0b5-11ed-803c-6c2b597b15e2,AF153308 ,28ff,"Wiley, Edward O"
5473e85f-a0b5-11ed-803c-6c2b597b15e2,AF150660 ,28ee,"Wiley, Edward O"
547499d7-a0b5-11ed-803c-6c2b597b15e2,AF150005 ,12S,"Wiley, Edward O"
5485a5ca-a0b5-11ed-803c-6c2b597b15e2,KF930139,CO1,Barcode of Life Initiative
546fe367-a0b5-11ed-803c-6c2b597b15e2,AF055605 ,12S,"Tang, Kevin L"
547052b9-a0b5-11ed-803c-6c2b597b15e2,EF530097 ,Rag1,"Holcroft Benson, Nancy I"
54712802-a0b5-11ed-803c-6c2b597b15e2,EF536259 ,plagl2,"Holcroft Benson, Nancy I"
547443ba-a0b5-11ed-803c-6c2b597b15e2,EF536297 ,myh6,"Holcroft Benson, Nancy I"
54749b50-a0b5-11ed-803c-6c2b597b15e2,EF539244 ,ENC1,"Holcroft Benson, Nancy I"
5474a669-a0b5-11ed-803c-6c2b597b15e2,AF055626 ,16S,"Tang, Kevin L"
5474bcc1-a0b5-11ed-803c-6c2b597b15e2,EF533920 ,zic1,"Holcroft Benson, Nancy I"
5479e6d0-a0b5-11ed-803c-6c2b597b15e2,KC827791,Panx2,"Broughton, Richard E"
547b3fa0-a0b5-11ed-803c-6c2b597b15e2,KC828458,PTCHD1,"Lopez, Andres"
547ccad1-a0b5-11ed-803c-6c2b597b15e2,KC829670,sidkey,"Carpenter, Kent E"
547e241a-a0b5-11ed-803c-6c2b597b15e2,KC830425,tbr1,"Lopez, Andres"
547f6f62-a0b5-11ed-803c-6c2b597b15e2,KC831131,zic1,"Broughton, Richard E"
5485a644-a0b5-11ed-803c-6c2b597b15e2,KF929889,CO1,Barcode of Life Initiative
547e5549-a0b5-11ed-803c-6c2b597b15e2,KC830507,tbr1,"Lopez, Andres"
54842136-a0b5-11ed-803c-6c2b597b15e2,KF140791,plagl2,"Near, Thomas J"
54842183-a0b5-11ed-803c-6c2b597b15e2,KF141290,Rag1,"Near, Thomas J"
548421cb-a0b5-11ed-803c-6c2b597b15e2,KF140233,sreb2,"Near, Thomas J"
54842581-a0b5-11ed-803c-6c2b597b15e2,KF139898,Glyt,"Near, Thomas J"
548425d3-a0b5-11ed-803c-6c2b597b15e2,KF140054,myh6,"Near, Thomas J"
5484261d-a0b5-11ed-803c-6c2b597b15e2,KF141535,SH3PX3,"Near, Thomas J"
54842669-a0b5-11ed-803c-6c2b597b15e2,KF141053,ptr,"Near, Thomas J"
548426b4-a0b5-11ed-803c-6c2b597b15e2,KF139590,ENC1,"Near, Thomas J"
548cd18f-a0b5-11ed-803c-6c2b597b15e2,SRX10444861,UCE,"Arcila, Dahiana"
54708948-a0b5-11ed-803c-6c2b597b15e2,AF285945 ,16S,"Tang, Kevin L"
5470ed11-a0b5-11ed-803c-6c2b597b15e2,AF285923 ,12S,"Tang, Kevin L"
548b6550-a0b5-11ed-803c-6c2b597b15e2,MW630861,CO1,"Tang, Kevin L"
548b6599-a0b5-11ed-803c-6c2b597b15e2,MW631659,TMO-4C4,"Tang, Kevin L"
548b65e1-a0b5-11ed-803c-6c2b597b15e2,MW631263,H3,"Tang, Kevin L"
548b6635-a0b5-11ed-803c-6c2b597b15e2,MW631470,Rag1,"Tang, Kevin L"
548b6687-a0b5-11ed-803c-6c2b597b15e2,MW630655,ATPase8 and 6,"Tang, Kevin L"
548b66d3-a0b5-11ed-803c-6c2b597b15e2,MW631068,cyt b,"Tang, Kevin L"
54714c94-a0b5-11ed-803c-6c2b597b15e2,AF153300 ,28ff,"Wiley, Edward O"
5472f462-a0b5-11ed-803c-6c2b597b15e2,AF149997 ,12S,"Wiley, Edward O"
5472f817-a0b5-11ed-803c-6c2b597b15e2,AF152157 ,28wx,"Wiley, Edward O"
5473c154-a0b5-11ed-803c-6c2b597b15e2,AF150652 ,28ee,"Wiley, Edward O"
5473e150-a0b5-11ed-803c-6c2b597b15e2,AF152130 ,28mm,"Wiley, Edward O"
5484b661-a0b5-11ed-803c-6c2b597b15e2,KF929710,CO1,Barcode of Life Initiative
54751c9d-a0b5-11ed-803c-6c2b597b15e2,JN688807,TMO-4C4,"Liang, Rishen"
54751ce9-a0b5-11ed-803c-6c2b597b15e2,JN688740,16S,"Liang, Rishen"
547a7539-a0b5-11ed-803c-6c2b597b15e2,KC828087,plagl2,"Carpenter, Kent E"
547b1bf1-a0b5-11ed-803c-6c2b597b15e2,KC828460,PTCHD1,"Lopez, Andres"
547bd022-a0b5-11ed-803c-6c2b597b15e2,KC829091,ripk4,"Carpenter, Kent E"
547c9827-a0b5-11ed-803c-6c2b597b15e2,KC829392,sidkey,"Carpenter, Kent E"
547f2063-a0b5-11ed-803c-6c2b597b15e2,KC831004,zic1,"Broughton, Richard E"
5475f435-a0b5-11ed-803c-6c2b597b15e2,JX628420,Pkdt,"Lautredou, Anne-Claire"
5475f4a8-a0b5-11ed-803c-6c2b597b15e2,JX627921,IRBP,"Lautredou, Anne-Claire"
54843783-a0b5-11ed-803c-6c2b597b15e2,KF930217,CO1,Barcode of Life Initiative
5485a6bc-a0b5-11ed-803c-6c2b597b15e2,KF930538,CO1,Barcode of Life Initiative
546efdfa-a0b5-11ed-803c-6c2b597b15e2,AF285940 ,16S,"Tang, Kevin L"
5470330e-a0b5-11ed-803c-6c2b597b15e2,AY279676 ,16S,"Westneat, Mark W"
54709086-a0b5-11ed-803c-6c2b597b15e2,AY279779 ,TMO-4C4,"Westneat, Mark W"
54719f8d-a0b5-11ed-803c-6c2b597b15e2,AF285918 ,12S,"Tang, Kevin L"
54723327-a0b5-11ed-803c-6c2b597b15e2,AY279573 ,12S,"Westneat, Mark W"
547256d7-a0b5-11ed-803c-6c2b597b15e2,AY279882 ,Rag2,"Westneat, Mark W"
5472ee4a-a0b5-11ed-803c-6c2b597b15e2,FJ616723 ,Rag1,"Cooper, James"
5473501f-a0b5-11ed-803c-6c2b597b15e2,FJ616944 ,bmp-4,"Cooper, James"
547449b4-a0b5-11ed-803c-6c2b597b15e2,FJ616611 ,ND3,"Cooper, James"
5485a732-a0b5-11ed-803c-6c2b597b15e2,KF929833,CO1,Barcode of Life Initiative
548a9ba9-a0b5-11ed-803c-6c2b597b15e2,MW630570,ATPase8 and 6,"Tang, Kevin L"
548a9bf3-a0b5-11ed-803c-6c2b597b15e2,MW631383,Rag1,"Tang, Kevin L"
548a9c3f-a0b5-11ed-803c-6c2b597b15e2,MW630184,12S,"Tang, Kevin L"
