reference_id,reference_type,bibliograohic_citation,reference_year,reference_iri,is_peer_reviewed
50295948-1e04-42ba-96a8-c3569695da21,JOURNAL_ARTICLE,"Batasio macronotus, a new species of bagrid catfish from Nepal (Teleostei: Bagridae). Ichthyol. Explor. Freshwaters. 15 (4): 295-300",2004,,
989d912d-126a-4856-a683-daa66e975b3b,JOURNAL_ARTICLE,A revision of the catfish genus *Noturus* Rafinesque with an analysis of higher groups in the Ictaluridae.. Bull. US Nat. Mus.. 282: 315,1969,https://doi.org/10.5479/si.03629236.282.1,
0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,JOURNAL_ARTICLE,"The ""Celestial Pearl danio"" is a miniature Danio (s.s) (Ostariophysi: Cyprinidae): evidence from morphology and molecules. Zootaxa. 1686: 1-28",2008,https://doi.org/10.11646/zootaxa.1686.1.1,
cc441480-1148-4646-ad72-3868b37a86e2,JOURNAL_ARTICLE,"Two new species of Pseudecheneis, rheophilic catfishes (Teleostei: Sisoridae) from Nepal. Zootaxa. 1047: 1-19",2005,https://doi.org/10.11646/zootaxa.1047.1.1,
985d553b-74c4-4419-8db7-d3a422e70700,JOURNAL_ARTICLE,Centrum growth patterns provide evidence for two small taxa of Hiodontidae in the Cretaceous Dinosaur Park Formation. Can. J. Earth Sci.. 44: 721-732,2007,https://doi.org/10.1139/e06-137,
db876f1b-b573-4144-9487-5d96ef8a7a0e,JOURNAL_ARTICLE,The Clupeocephala re-visited: Analysis of characters and homologies. Revista de Biologia Marina y Oceanografia. 45: 635-657,2010,https://doi.org/10.4067/S0718-19572010000400009,
22fe695a-4601-4c8d-af6b-e81eb400aa52,JOURNAL_ARTICLE,A new species of Lepidocephalichthys (Teleostei: Cobitidae) with distinctive sexual dimorphism and comments on relationships in southern lineages of Cobitidae. Zootaxa. 2557: 1-18,2010,https://doi.org/10.11646/zootaxa.2557.1.1,
5fa2e2c8-3b4f-4a0e-9e1b-27ae11ae4429,JOURNAL_ARTICLE,Gill-filament ossifications: a possible morphological synapomorphy uniting the families Balitoridae and Cobitidae (Ostariophysi: Cypriniformes). J. Fish Biol.. 75: 2839-2844,2009,https://doi.org/10.1111/j.1095-8649.2009.02469.x,
d92a3b92-74af-49f9-99a0-77d08fc6dabd,JOURNAL_ARTICLE,"A review of the Cis-Andean species of Hemibrycon Gunther (Teleostei: Characiformes: Characidae: Stevardiinae), with description of two new species. Neot. Ichthy.. 8(4): 737-770",2010,https://doi.org/10.1590/S1679-62252010000400005,
1fb025e9-8075-4c62-bfff-b64880e641fc,JOURNAL_ARTICLE,"Cottus immaculatus, a new species of sculpin (Cottidae) from the Ozark Highlands of Arkansas and Missouri, USA. Zootaxa. 2340: 50-64",2010,https://doi.org/10.5281/zenodo.275532,
74d9053e-2968-4ea9-8d71-38efd3ac63aa,BOOK_SECTION,Fishes of New Zealand.  Catalogue with diagnoses of the species: 1-93 & 95-133,1872,,
f73f8d92-d101-4bc6-aa75-a6173247a0af,JOURNAL_ARTICLE,A new species of gravel-dwelling loach (Ostariophysi: Nemacheilidae) from the Nepalese Himalayan foothills. J. Fish Biol.. 79: 1746-1759,2011,https://doi.org/10.1111/j.1095-8649.2011.03108.x,
a2704dc2-e942-47f5-b30e-390dc2c98d8a,BOOK_SECTION,"Actinopterygian postcranial skeleton with special reference to the diversity of fin ray elements, and the problem of identifying homologies: 49-101",2008,,
3a373e86-ba3b-49e1-8c38-347a1b2a1ea7,DISSERTATION,"Taxonomy and Phylogeny of the Neotropical fish genus Hemibrycon Günther, 1864 (Ostariophysi: Characiformes: Characidae): 304",2008,,
0b4e5878-7e44-48d5-aaed-0161a86958ef,JOURNAL_ARTICLE,The Gill Arches of Psilorhynchus (Ostariophysi: Psilorhynchidae). Copeia. 2: 267-280,2007,https://doi.org/10.1643/0045-8511(2007)7%5B267:TGAOPO%5D2.0.CO;2,
e94abc5f-139c-47f4-8702-8999eebb17b2,JOURNAL_ARTICLE,Gill arch and Hyoid arch diversity and cypriniform phylogeny:  Distributed integration of morphology and web-based tools. Zootaxa. 2877: 1-40,2011,https://doi.org/10.11646/zootaxa.2877.1.1,
8f9277c0-a9aa-47f6-b4c6-de4586dadd64,JOURNAL_ARTICLE,Two new species of Erethistoides (Teleostei:  Erethistidae) from Nepal. Ichthyol. Explor. Freshwaters. 16 (3): 239-248,2005,,
1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,JOURNAL_ARTICLE,"Additions to the ichthyofauna of Nepal, with a redescription of Neoeucirrhichthys maydelli (Teleostei: Cobitidae). Ichthyol. Explor. Freshwaters. 18(2): 125-132",2007,,
5404c1d3-aafc-4bd5-87b3-71ad913ace07,JOURNAL_ARTICLE,Two new species of Pseudolaguvia (Teleostei: Erethistidae) from Bangladesh. Zootaxa. 1044: 35-47,2005,https://doi.org/10.11646/zootaxa.1044.1.4,
28c3b865-92c1-4286-a95c-4ccf78bcb5e7,JOURNAL_ARTICLE,Two new species of torrent minnow (Ostariophysi: Psilorhnychidae) from Western Myanmar. Raffles Bull. Zoo.. 58(2): 259-267,2010,https://www.researchgate.net/profile/Maurice_Kottelat/publication/266490339_Two_new_species_of_Torrent_Minnow_Ostariophysi_Psilorhynchidae_from_western_Myanmar/links/54afefb80cf220c63ccdc897.pdf,
2676c350-4381-4b47-8ddb-185388b8cb9c,JOURNAL_ARTICLE,"Osteology of the South Asian Genus Psilorhynchus McClelland, 1839 (Teleostei: Ostariophysi: Psilorhynchidae), with investigation of its phylogenetic relationships within the order Cypriniformes. Zoo. J Linn. Soc.. 163: 50-154",2011,https://doi.org/10.1111/j.1096-3642.2011.00698.x,
5d7bed1b-7ac2-4245-b36e-1dd856cc4959,0,"FAO species catalogue. Vol. 7. Clupeoid fishes of the world. An annotated and illustrated catalogue of the herrings, sardines, pilchards, sprats, shads, anchovies and wolf-herrings. Part 1 - Chirocentridae, Clupeidae and Pristigasteridae. 7 (1): 303",1985,,
b81a57a3-8469-4a95-8a07-fe76119e680a,JOURNAL_ARTICLE,"Three new species of Psilorhynchus from the Ayeyarwaddy River drainage, Myanmar (Teleostei: Psilorhynchidae). Zootaxa. 2616: 31-47",2010,https://doi.org/10.11646/zootaxa.2616.1.2,
366a6c41-deba-46ee-a3a4-9477736d5542,JOURNAL_ARTICLE,Four new species of the genus Ophidion (Pisces: Ophidiidae) from the Western Atlantic Ocean. Sci. Pap. Nat. Hist. Mus. Univ. Kan.. 31: 1-9,2003,https://doi.org/10.5962/bhl.title.8466,
f162eeea-a487-446e-8bc4-9c6d671b3771,JOURNAL_ARTICLE,"The Fringed Darter, Etheostoma crossopterum, in the Cache River Basin of Southern Illinois (Percidae: Subgenus Catonotus). Ohio J Sci.. 98(2): 6-9",1998,https://kb.osu.edu/dspace/handle/1811/23774,
