4.taxon.guid,4.taxon.fullName,4.taxon.author,4.taxon.rankId,4.taxon.source
91b83f09-9e58-11ed-803c-6c2b597b15e2,Fish,,0,
91b84b53-9e58-11ed-803c-6c2b597b15e2,Petromyzonti,,60,Nelson 1984
91b852a3-9e58-11ed-803c-6c2b597b15e2,Myxini,,60,Nelson 1984
91b858cc-9e58-11ed-803c-6c2b597b15e2,Elasmobranchii,,60,Nelson 1984
91b85e8b-9e58-11ed-803c-6c2b597b15e2,Actinopterygii,,60,Nelson 1984
91b86406-9e58-11ed-803c-6c2b597b15e2,Gymnotiformes,,100,
91b8696e-9e58-11ed-803c-6c2b597b15e2,Petromyzoniformes,,100,Nelson 1984
91b8794f-9e58-11ed-803c-6c2b597b15e2,Myxiniformes,,100,Nelson 1984
91b87eb8-9e58-11ed-803c-6c2b597b15e2,Heterodontiformes,,100,Nelson 1984
91b8861f-9e58-11ed-803c-6c2b597b15e2,Hexanchiformes,,100,Nelson 1984
91b88ba0-9e58-11ed-803c-6c2b597b15e2,Lamniformes,,100,Nelson 1984
91b890bb-9e58-11ed-803c-6c2b597b15e2,Squaliformes,,100,Nelson 1984
91b895cb-9e58-11ed-803c-6c2b597b15e2,Rajiformes,,100,Nelson 1984
91b89ade-9e58-11ed-803c-6c2b597b15e2,Chimaeriformes,,100,Nelson 1984
91b89ff2-9e58-11ed-803c-6c2b597b15e2,Coelacanthiformes,,100,Nelson 1984
91b8a58b-9e58-11ed-803c-6c2b597b15e2,Polypteriformes,,100,Nelson 1984
91b8a9df-9e58-11ed-803c-6c2b597b15e2,Acipenseriformes,,100,Nelson 1984
91b8ae01-9e58-11ed-803c-6c2b597b15e2,Lepisosteiformes,,100,Nelson 1984
91b8b207-9e58-11ed-803c-6c2b597b15e2,Amiiformes,,100,Nelson 1984
91b8b606-9e58-11ed-803c-6c2b597b15e2,Osteoglossiformes,,100,Nelson 1984
91b8ba04-9e58-11ed-803c-6c2b597b15e2,Clupeiformes,,100,Nelson 1984
91b8be01-9e58-11ed-803c-6c2b597b15e2,Elopiformes,,100,Nelson 1984
91b8c1f1-9e58-11ed-803c-6c2b597b15e2,Anguilliformes,,100,Nelson 1984
91b8c5e8-9e58-11ed-803c-6c2b597b15e2,Notacanthiformes,,100,Nelson 1984
91b8c9ed-9e58-11ed-803c-6c2b597b15e2,Salmoniformes,,100,Nelson 1984
91b8cdea-9e58-11ed-803c-6c2b597b15e2,Gonorynchiformes,,100,Nelson 1984
91b8d1dd-9e58-11ed-803c-6c2b597b15e2,Cypriniformes,,100,Nelson 1984
91b8d5d1-9e58-11ed-803c-6c2b597b15e2,Siluriformes,,100,Nelson 1984
91b8d9c4-9e58-11ed-803c-6c2b597b15e2,Myctophiformes,,100,Nelson 1984
91b8ddb3-9e58-11ed-803c-6c2b597b15e2,Polymixiiformes,,100,Nelson 1984
91b8e1a2-9e58-11ed-803c-6c2b597b15e2,Percopsiformes,,100,Nelson 1984
91b8e5d4-9e58-11ed-803c-6c2b597b15e2,Gadiformes,,100,Nelson 1984
91b8e9d5-9e58-11ed-803c-6c2b597b15e2,Batrachoidiformes,,100,Nelson 1984
91b8edca-9e58-11ed-803c-6c2b597b15e2,Lophiiformes,,100,Nelson 1984
91b8f1c5-9e58-11ed-803c-6c2b597b15e2,Indostomiformes,,100,Nelson 1984
91b8f5b2-9e58-11ed-803c-6c2b597b15e2,Atheriniformes,,100,Nelson 1984
91b8f9a3-9e58-11ed-803c-6c2b597b15e2,Lampridiformes,,100,Nelson 1984
91b8fd94-9e58-11ed-803c-6c2b597b15e2,Beryciformes,,100,Nelson 1984
91b9018c-9e58-11ed-803c-6c2b597b15e2,Zeiformes,,100,Nelson 1984
91b9057b-9e58-11ed-803c-6c2b597b15e2,Syngnathiformes,,100,Nelson 1984
91b90927-9e58-11ed-803c-6c2b597b15e2,Gasterosteiformes,,100,Nelson 1984
91b90a10-9e58-11ed-803c-6c2b597b15e2,Synbranchiformes,,100,Nelson 1984
91b90afd-9e58-11ed-803c-6c2b597b15e2,Scorpaeniformes,,100,Nelson 1984
91b90be6-9e58-11ed-803c-6c2b597b15e2,Pegasiformes,,100,Nelson 1984
91b90ccc-9e58-11ed-803c-6c2b597b15e2,Perciformes,,100,Nelson 1984
91b90db4-9e58-11ed-803c-6c2b597b15e2,Gobiesociformes,,100,Nelson 1984
91b90ea0-9e58-11ed-803c-6c2b597b15e2,Pleuronectiformes,,100,Nelson 1984
91b90f8c-9e58-11ed-803c-6c2b597b15e2,Tetraodontiformes,,100,Nelson 1984
91b9107c-9e58-11ed-803c-6c2b597b15e2,Aulopiformes,,100,Nelson 1984
91b91166-9e58-11ed-803c-6c2b597b15e2,Stomiiformes,,100,Nelson 1984
91b9124f-9e58-11ed-803c-6c2b597b15e2,Badidae,,140,Nelson 1984
91b91340-9e58-11ed-803c-6c2b597b15e2,Liparidae,,140,Nelson 1984
91b9142a-9e58-11ed-803c-6c2b597b15e2,Sternopygidae,,140,
91b91518-9e58-11ed-803c-6c2b597b15e2,Balistidae,,140,Nelson 1984
91b91602-9e58-11ed-803c-6c2b597b15e2,Antennariidae,,140,Nelson 1984
91b916ea-9e58-11ed-803c-6c2b597b15e2,Cyprinidae,,140,Nelson 1984
91b917d3-9e58-11ed-803c-6c2b597b15e2,Scorpaenidae,,140,Nelson 1984
91b91ad2-9e58-11ed-803c-6c2b597b15e2,Exocoetidae,,140,Nelson 1984
91b91bc0-9e58-11ed-803c-6c2b597b15e2,Embiotocidae,,140,Nelson 1984
91b91cab-9e58-11ed-803c-6c2b597b15e2,Belonidae,,140,Nelson 1984
91b91d9c-9e58-11ed-803c-6c2b597b15e2,Gobiidae,,140,Nelson 1984
91b91e9b-9e58-11ed-803c-6c2b597b15e2,Cobitidae,,140,Nelson 1984
91b91f8d-9e58-11ed-803c-6c2b597b15e2,Anostomidae,,140,Nelson 1984
91b92075-9e58-11ed-803c-6c2b597b15e2,Pimelodidae,,140,Nelson 1984
91b9215f-9e58-11ed-803c-6c2b597b15e2,Stichaeidae,,140,Nelson 1984
91b92250-9e58-11ed-803c-6c2b597b15e2,Carangidae,,140,Nelson 1984
91b92339-9e58-11ed-803c-6c2b597b15e2,Pomacentridae,,140,Nelson 1984
91b928fd-9e58-11ed-803c-6c2b597b15e2,Priacanthidae,,140,Nelson 1984
91b929f1-9e58-11ed-803c-6c2b597b15e2,Macrouridae,,140,Nelson 1984
91b92ada-9e58-11ed-803c-6c2b597b15e2,Ophidiidae,,140,Nelson 1984
91b92bc5-9e58-11ed-803c-6c2b597b15e2,Cottocomephoridae,,140,Nelson 1984
91b92cb1-9e58-11ed-803c-6c2b597b15e2,Monacanthidae,,140,Nelson 1984
91b92dfa-9e58-11ed-803c-6c2b597b15e2,Percophidae,,140,Nelson 1984
91b932aa-9e58-11ed-803c-6c2b597b15e2,Apogonidae,,140,Nelson 1984
91b93391-9e58-11ed-803c-6c2b597b15e2,Centrarchidae,,140,Nelson 1984
91b9349a-9e58-11ed-803c-6c2b597b15e2,Chaenopsidae,,140,Nelson 1984
91b93586-9e58-11ed-803c-6c2b597b15e2,Ophichthidae,,140,Nelson 1984
91b93a2b-9e58-11ed-803c-6c2b597b15e2,Squalidae,,140,Nelson 1984
91b93b0f-9e58-11ed-803c-6c2b597b15e2,Loricariidae,,140,Nelson 1984
91b93bed-9e58-11ed-803c-6c2b597b15e2,Serranidae,,140,Nelson 1984
91b9418e-9e58-11ed-803c-6c2b597b15e2,Acanthuridae,,140,Nelson 1984
91b942c6-9e58-11ed-803c-6c2b597b15e2,Acropomatidae,,140,Nelson 1984
91b9441b-9e58-11ed-803c-6c2b597b15e2,Cepolidae,,140,Nelson 1984
91b94903-9e58-11ed-803c-6c2b597b15e2,Stephanoberycidae,,140,Nelson 1984
91b94a2c-9e58-11ed-803c-6c2b597b15e2,Pomacanthidae,,140,Nelson 1984
91b94ec1-9e58-11ed-803c-6c2b597b15e2,Characidae,,140,Nelson 1984
91b95012-9e58-11ed-803c-6c2b597b15e2,Cirrhitidae,,140,Nelson 1984
91b954f5-9e58-11ed-803c-6c2b597b15e2,Mochokidae,,140,Nelson 1984
91b9598f-9e58-11ed-803c-6c2b597b15e2,Acanthoclinidae,,140,Nelson 1984
91b95e27-9e58-11ed-803c-6c2b597b15e2,Cottidae,,140,Nelson 1984
91b96747-9e58-11ed-803c-6c2b597b15e2,Scombridae,,140,Nelson 1984
91b96844-9e58-11ed-803c-6c2b597b15e2,Doradidae,,140,Nelson 1984
91b9693b-9e58-11ed-803c-6c2b597b15e2,Syngnathidae,,140,Nelson 1984
91b96a3c-9e58-11ed-803c-6c2b597b15e2,Plesiopidae,,140,Nelson 1984
91b96b21-9e58-11ed-803c-6c2b597b15e2,Labridae,,140,Nelson 1984
91b96c06-9e58-11ed-803c-6c2b597b15e2,Cheilodactylidae,,140,Nelson 1984
91b96cfc-9e58-11ed-803c-6c2b597b15e2,Hexagrammidae,,140,Nelson 1984
91b96dea-9e58-11ed-803c-6c2b597b15e2,Argentinidae,,140,Nelson 1984
91b96ed4-9e58-11ed-803c-6c2b597b15e2,Salmonidae,,140,Nelson 1984
91b96fbd-9e58-11ed-803c-6c2b597b15e2,Cyclopteridae,,140,Nelson 1984
91b970a7-9e58-11ed-803c-6c2b597b15e2,Sparidae,,140,Nelson 1984
91b9718f-9e58-11ed-803c-6c2b597b15e2,Pegasidae,,140,Nelson 1984
91b97276-9e58-11ed-803c-6c2b597b15e2,Ambassidae,,140,Nelson 1984
91b9735c-9e58-11ed-803c-6c2b597b15e2,Poeciliidae,,140,Nelson 1984
91b97443-9e58-11ed-803c-6c2b597b15e2,Hoplichthyidae,,140,Nelson 1984
91b9752a-9e58-11ed-803c-6c2b597b15e2,Monodactylidae,,140,Nelson 1984
91b97611-9e58-11ed-803c-6c2b597b15e2,Sternoptychidae,,140,Nelson 1984
91b976fb-9e58-11ed-803c-6c2b597b15e2,Trichomycteridae,,140,Nelson 1984
91b977e8-9e58-11ed-803c-6c2b597b15e2,Pleuronectidae,,140,Nelson 1984
91b978d3-9e58-11ed-803c-6c2b597b15e2,Molidae,,140,Nelson 1984
91b979bc-9e58-11ed-803c-6c2b597b15e2,Aploactinidae,,140,Nelson 1984
91b97aa5-9e58-11ed-803c-6c2b597b15e2,Triglidae,,140,Nelson 1984
91b97b8f-9e58-11ed-803c-6c2b597b15e2,Agonidae,,140,Nelson 1984
91b97c78-9e58-11ed-803c-6c2b597b15e2,Phallostethidae,,140,Nelson 1984
91b97d5e-9e58-11ed-803c-6c2b597b15e2,Ostraciidae,,140,Nelson 1984
91b97e44-9e58-11ed-803c-6c2b597b15e2,Chaetodontidae,,140,Nelson 1984
91b97f2b-9e58-11ed-803c-6c2b597b15e2,Denticipitidae,,140,Nelson 1984
91b98013-9e58-11ed-803c-6c2b597b15e2,Gempylidae,,140,Nelson 1984
91b980fb-9e58-11ed-803c-6c2b597b15e2,Cichlidae,,140,Nelson 1984
91b981e8-9e58-11ed-803c-6c2b597b15e2,Cynoglossidae,,140,Nelson 1984
91b98317-9e58-11ed-803c-6c2b597b15e2,Centriscidae,,140,Nelson 1984
91b9845e-9e58-11ed-803c-6c2b597b15e2,Centrolophidae,,140,Nelson 1984
91b98585-9e58-11ed-803c-6c2b597b15e2,Linophrynidae,,140,Nelson 1984
91b986bc-9e58-11ed-803c-6c2b597b15e2,Percidae,,140,Nelson 1984
91b987ec-9e58-11ed-803c-6c2b597b15e2,Soleidae,,140,Nelson 1984
91b98913-9e58-11ed-803c-6c2b597b15e2,Achiropsettidae,,140,Nelson 1984
91b98a3c-9e58-11ed-803c-6c2b597b15e2,Achiridae,,140,Nelson 1984
91b98b67-9e58-11ed-803c-6c2b597b15e2,Acipenseridae,,140,Nelson 1984
91b98c93-9e58-11ed-803c-6c2b597b15e2,Catostomidae,,140,Nelson 1984
91b98dbc-9e58-11ed-803c-6c2b597b15e2,Bathydraconidae,,140,Nelson 1984
91b98ee7-9e58-11ed-803c-6c2b597b15e2,Akysidae,,140,Nelson 1984
91b9900f-9e58-11ed-803c-6c2b597b15e2,Congridae,,140,Nelson 1984
91b99137-9e58-11ed-803c-6c2b597b15e2,Percichthyidae,,140,Nelson 1984
91b9925d-9e58-11ed-803c-6c2b597b15e2,Rhinobatidae,,140,Nelson 1984
91b99386-9e58-11ed-803c-6c2b597b15e2,Icosteidae,,140,Nelson 1984
91b994ac-9e58-11ed-803c-6c2b597b15e2,Labrisomidae,,140,Nelson 1984
91b995d2-9e58-11ed-803c-6c2b597b15e2,Moronidae,,140,Nelson 1984
91b996f7-9e58-11ed-803c-6c2b597b15e2,Berycidae,,140,Nelson 1984
91b997e1-9e58-11ed-803c-6c2b597b15e2,Curimatidae,,140,Nelson 1984
91b998cc-9e58-11ed-803c-6c2b597b15e2,Gobiesocidae,,140,Nelson 1984
91b999b4-9e58-11ed-803c-6c2b597b15e2,Aplocheilidae,,140,Nelson 1984
91b99a9a-9e58-11ed-803c-6c2b597b15e2,Atherinidae,,140,Nelson 1984
91b99b80-9e58-11ed-803c-6c2b597b15e2,Fundulidae,,140,Nelson 1984
91b99c68-9e58-11ed-803c-6c2b597b15e2,Holocentridae,,140,Nelson 1984
91b99d50-9e58-11ed-803c-6c2b597b15e2,Blenniidae,,140,Nelson 1984
91b99e34-9e58-11ed-803c-6c2b597b15e2,Gymnotidae,,140,Nelson 1984
91b99f19-9e58-11ed-803c-6c2b597b15e2,Adrianichthyidae,,140,Nelson 1984
91b9a003-9e58-11ed-803c-6c2b597b15e2,Himantolophidae,,140,Nelson 1984
91b9a0ec-9e58-11ed-803c-6c2b597b15e2,Gadidae,,140,Nelson 1984
91b9a1d8-9e58-11ed-803c-6c2b597b15e2,Ariidae,,140,Nelson 1984
91b9a2c0-9e58-11ed-803c-6c2b597b15e2,Muraenidae,,140,Nelson 1984
91b9a3a7-9e58-11ed-803c-6c2b597b15e2,Mugilidae,,140,Nelson 1984
91b9a48f-9e58-11ed-803c-6c2b597b15e2,Diceratiidae,,140,Nelson 1984
91b9a576-9e58-11ed-803c-6c2b597b15e2,Pataecidae,,140,Nelson 1984
91b9a65a-9e58-11ed-803c-6c2b597b15e2,Mastacembelidae,,140,Nelson 1984
91b9a9ce-9e58-11ed-803c-6c2b597b15e2,Myctophidae,,140,Nelson 1984
91b9aaec-9e58-11ed-803c-6c2b597b15e2,Nototheniidae,,140,Nelson 1984
91b9abdc-9e58-11ed-803c-6c2b597b15e2,Lutjanidae,,140,Nelson 1984
91b9acc9-9e58-11ed-803c-6c2b597b15e2,Myliobatidae,,140,Nelson 1984
91b9adb2-9e58-11ed-803c-6c2b597b15e2,Gymnuridae,,140,Nelson 1984
91b9ae9b-9e58-11ed-803c-6c2b597b15e2,Nandidae,,140,Nelson 1984
91b9af81-9e58-11ed-803c-6c2b597b15e2,Sciaenidae,,140,Nelson 1984
91b9b068-9e58-11ed-803c-6c2b597b15e2,Galaxiidae,,140,Nelson 1984
91b9b152-9e58-11ed-803c-6c2b597b15e2,Ageneiosidae,,140,Nelson 1984
91b9b23e-9e58-11ed-803c-6c2b597b15e2,Kyphosidae,,140,Nelson 1984
91b9b326-9e58-11ed-803c-6c2b597b15e2,Sisoridae,,140,Nelson 1984
91b9b40a-9e58-11ed-803c-6c2b597b15e2,Aspredinidae,,140,Nelson 1984
91b9b4f1-9e58-11ed-803c-6c2b597b15e2,Petromyzontidae,,140,Nelson 1984
91b9b5d8-9e58-11ed-803c-6c2b597b15e2,Uranoscopidae,,140,Nelson 1984
91b9b6c2-9e58-11ed-803c-6c2b597b15e2,Sphyraenidae,,140,Nelson 1984
91b9b7b2-9e58-11ed-803c-6c2b597b15e2,Congiopodidae,,140,Nelson 1984
91b9b89d-9e58-11ed-803c-6c2b597b15e2,Regalecidae,,140,Nelson 1984
91b9b985-9e58-11ed-803c-6c2b597b15e2,Notosudidae,,140,Nelson 1984
91b9bc8d-9e58-11ed-803c-6c2b597b15e2,Zoarcidae,,140,Nelson 1984
91b9bd7e-9e58-11ed-803c-6c2b597b15e2,Melanotaeniidae,,140,Nelson 1984
91b9be65-9e58-11ed-803c-6c2b597b15e2,Schilbeidae,,140,Nelson 1984
91b9bf4e-9e58-11ed-803c-6c2b597b15e2,Microdesmidae,,140,Nelson 1984
91b9c036-9e58-11ed-803c-6c2b597b15e2,Tetraodontidae,,140,Nelson 1984
91b9c120-9e58-11ed-803c-6c2b597b15e2,Clupeidae,,140,Nelson 1984
91b9c24d-9e58-11ed-803c-6c2b597b15e2,Albulidae,,140,Nelson 1984
91b9c345-9e58-11ed-803c-6c2b597b15e2,Alepocephalidae,,140,Nelson 1984
91b9c432-9e58-11ed-803c-6c2b597b15e2,Serrivomeridae,,140,Nelson 1984
91b9c523-9e58-11ed-803c-6c2b597b15e2,Halosauridae,,140,Nelson 1984
91b9c60e-9e58-11ed-803c-6c2b597b15e2,Nomeidae,,140,Nelson 1984
91b9c6f8-9e58-11ed-803c-6c2b597b15e2,Alepisauridae,,140,Nelson 1984
91b9c7e4-9e58-11ed-803c-6c2b597b15e2,Aphyonidae,,140,Nelson 1984
91b9cd84-9e58-11ed-803c-6c2b597b15e2,Eleotridae,,140,Nelson 1984
91b9ce80-9e58-11ed-803c-6c2b597b15e2,Clariidae,,140,Nelson 1984
91b9cf68-9e58-11ed-803c-6c2b597b15e2,Oreosomatidae,,140,Nelson 1984
